"title","author","category","collection","source_url","source_type","rights_status","review_status","duplicate_check_status","doctrinal_status","warning_label","recommended_use","notes","next_action"
"The Treasury of David","C. H. Spurgeon","Commentaries","Spurgeon Collection","https://www.spurgeon.org/resource-library/treasury-of-david/","Source landing page","Needs source and reuse review","Needs Review","Check against existing Spurgeon resources","Reviewed for category only","Use with discernment","High-value Psalms commentary; verify source text permissions before public import.","","Find exact public-domain text source and decide whether to import as commentary, library book, or both."
"Metropolitan Tabernacle Pulpit Sermons","C. H. Spurgeon","Preaching & Teaching","Spurgeon Collection","https://archive.org/search?query=%22Metropolitan+Tabernacle+Pulpit%22","Archive search","Needs exact volume review","Needs Review","Check volume/title duplicates","Reviewed for category only","Use with discernment","Large sermon set; import only exact public-domain volumes with stable text source.","","Select one volume, verify publication date and text quality, stage small batch."
"Sermons of C. H. Spurgeon","C. H. Spurgeon","Preaching & Teaching","Spurgeon Collection","https://www.gutenberg.org/ebooks/search/?query=spurgeon","Project Gutenberg search","Candidate only; exact ebook required","Needs Review","Check against existing Gutenberg Spurgeon imports","Reviewed for category only","Use with discernment","Existing library already includes several Spurgeon works; avoid duplicate public cards.","","Pick specific non-duplicate Gutenberg titles with direct ebook IDs."
"Addresses on the Gospel of John","H. A. Ironside","Commentaries","Ironside Collection","https://www.brethrenarchive.org/people/harry-a-ironside/pamphlets/addresses-on-the-gospel-of-john/","Brethren Archive source page","Mixed; exact edition review required","Needs Review","Check existing Ironside samples","Reviewed for category only","Use with discernment","Useful for John commentary expansion; do not import later edited material without review.","","Verify source rights and stage John sample chapters."
"Lectures on the Epistle to the Romans","H. A. Ironside","Commentaries","Ironside Collection","https://www.brethrenarchive.org/media/364659/ironside-h-a-_-epistles-to-the-romans.pdf","Source PDF","Likely U.S. public domain for 1928 first edition; confirm edition","Needs Review","Check existing Romans sample","Reviewed for category only","Use with discernment","Existing rights review notes identify this as a better Ironside candidate.","","Extract sample text and verify against source before larger import."
"Ironside Writings Index","H. A. Ironside","Bible study helps","Ironside Collection","https://www.wholesomewords.org/etexts/ironside/writings.html","Source index","Mixed; title-by-title review required","Needs Review","Check existing Ironside resources","Reviewed for category only","Use with discernment","Use as discovery index only; each title needs its own source and rights review.","","Create title-level manifests for likely public-domain works."
"Dispensational Truth additional edition review","Clarence Larkin","KJV / Textual Issues","KJV Defense Collection","https://archive.org/search?query=Clarence+Larkin","Archive search","Needs exact source review","Needs Review","Likely duplicate; existing Larkin titles present","Reviewed for category only","Use with discernment","Several Larkin works are already in the library; use this only for missing verified works.","","Audit existing Larkin cards before adding anything."
"Rightly Dividing the Word","Clarence Larkin","Bible study helps","KJV Defense Collection","https://archive.org/search?query=%22Rightly+Dividing+the+Word%22+Larkin","Archive search","Needs exact edition review","Needs Review","Check title and source duplicates","Reviewed for category only","Use with discernment","Potential high-value teaching resource if rights and source text are clean.","","Locate public-domain text or stable scan and validate."
"The Book of Daniel duplicate-safe expansion","Clarence Larkin","Commentaries","KJV Defense Collection","https://archive.org/search?query=%22The+Book+of+Daniel%22+%22Clarence+Larkin%22","Archive search","Needs exact source review","Needs Review","Existing Larkin Daniel appears imported","Reviewed for category only","Use with discernment","Do not add another edition as a separate public card unless materially different and reviewed.","","Keep existing import; only update metadata if needed."
"Lectures on the Gospel of John","William Kelly","Commentaries","Kelly Collection","https://www.stempublishing.com/authors/kelly/","Source index","Needs source and edition review","Needs Review","Check existing Kelly resources","Reviewed for category only","Use with discernment","Kelly may be useful but needs exact edition and doctrinal labels.","","Select exact book/chapter source and stage sample only."
"Notes on Romans","William Kelly","Commentaries","Kelly Collection","https://www.stempublishing.com/authors/kelly/","Source index","Needs source and edition review","Needs Review","Check existing Kelly resources","Reviewed for category only","Use with discernment","Candidate for Romans commentary comparison after review.","","Find exact text source, verify rights, stage Romans sample."
"Exposition of the Epistles of John","William Kelly","Commentaries","Kelly Collection","https://www.stempublishing.com/authors/kelly/","Source index","Needs source and edition review","Needs Review","Check existing Kelly resources","Reviewed for category only","Use with discernment","Useful for John-related study if source and structure are clean.","","Create manifest only after exact source is chosen."
"Collected Writings discovery","J. N. Darby","Bible study helps","Darby Collection","https://www.stempublishing.com/authors/darby/","Source index","Needs source, edition, and doctrinal review","Needs Review","No Darby public import currently desired without review","Needs doctrinal review","Use with discernment","Candidate only; do not import broadly or silently.","","Choose narrow Bible-study resource and review before staging."
"Synopsis of the Books of the Bible","J. N. Darby","Bible surveys","Darby Collection","https://www.stempublishing.com/authors/darby/synopsis/","Source index","Needs exact source and reuse review","Needs Review","Check no duplicate","Needs doctrinal review","Use with discernment","Potential Bible survey/commentary source; requires careful labels.","","Stage one book only after rights and doctrinal labels are complete."
"The Annotated Bible discovery","Arno C. Gaebelein","Commentaries","Gaebelein Collection","https://www.gutenberg.org/ebooks/search/?query=gaebelein","Project Gutenberg search","Candidate only; exact ebook required","Needs Review","Existing Gaebelein titles already imported","Reviewed for category only","Use with discernment","Use Project Gutenberg candidates only when exact title is not already present.","","Pick non-duplicate exact ebook IDs."
"The Prophet Daniel","Arno C. Gaebelein","Commentaries","Gaebelein Collection","https://archive.org/search?query=%22Arno+C.+Gaebelein%22+Daniel","Archive search","Needs exact source review","Needs Review","Check existing Gaebelein resources","Reviewed for category only","Use with discernment","Good fit for prophecy/commentary if rights/source are clean.","","Verify exact edition, then stage sample chapters."
"The Numerical Bible","F. W. Grant","Bible study helps","Grant Collection","https://www.stempublishing.com/authors/FW_Grant/","Source index","Needs source and edition review","Needs Review","No Grant imports yet","Needs doctrinal review","Use with discernment","High-effort parsing candidate; likely needs staged samples first.","","Identify exact volume, verify source, and stage one chapter."
"Facts and Theories as to a Future State","F. W. Grant","Christian living","Grant Collection","https://www.stempublishing.com/authors/FW_Grant/","Source index","Needs source and edition review","Needs Review","No Grant imports yet","Needs doctrinal review","Use with discernment","Candidate only; not a first import unless source and use are clear.","","Review title fit and rights before adding to queue."
"The Pulpit Commentary - Matthew volume","Various","Commentaries","Pulpit Commentary","https://archive.org/search?query=%22Pulpit+Commentary%22+Matthew","Archive search","Needs exact volume review","Needs Review","No Pulpit import yet","Needs doctrinal review","Use with discernment","Track separately from current commentary sets; likely large parser work.","","Choose one volume, document edition, stage sample chapter."
"The Pulpit Commentary - John volume","Various","Commentaries","Pulpit Commentary","https://archive.org/search?query=%22Pulpit+Commentary%22+John","Archive search","Needs exact volume review","Needs Review","No Pulpit import yet","Needs doctrinal review","Use with discernment","Useful for John but may be verbose; keep Scripture primary.","","Verify source and test parser on John 3 only."
"The Pulpit Commentary - Romans volume","Various","Commentaries","Pulpit Commentary","https://archive.org/search?query=%22Pulpit+Commentary%22+Romans","Archive search","Needs exact volume review","Needs Review","No Pulpit import yet","Needs doctrinal review","Use with discernment","Candidate for teaching comparison after rights and parsing review.","","Verify exact source and sample Romans 5."
"The Biblical Illustrator - John volume","Joseph S. Exell and contributors","Commentaries","Biblical Illustrator","https://archive.org/search?query=%22Biblical+Illustrator%22+John","Archive search","Needs exact volume review","Needs Review","No Biblical Illustrator import yet","Needs doctrinal review","Use with discernment","Potentially useful illustrations and homiletic material; may be noisy.","","Choose one volume and assess quality before import."
