rank,priority_tier,resource_kind,usefulness_score,title,author,year,category,collection,source_url,download_url,public_domain_status,commercial_use_status,rights_basis,recommended_use,file_path,word_count,reading_hours_estimate,work_group_key,edition_or_volume_count
1,Tier 1 - core beta study library,Commentary,1490,Christology of the Old Testament: And a Commentary on the Messianic Predictions. Vol. 2,Ernst Wilhelm Hengstenberg and Theodore Meyer,2009,Commentaries,Commentary,https://www.gutenberg.org/ebooks/30608,https://www.gutenberg.org/ebooks/30608.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/30608.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/christology-of-the-old-testament-and-a-commentary-on-the-messianic-predictions-vol-2-ernst-wilhelm-hengstenber.txt,200869,22.3,christology of the old testament and a commentary on the messianic predictions|ernst wilhelm hengstenberg and theodore meyer,1
2,Tier 1 - core beta study library,Commentary,1485,Lectures on the Epistle to the Colossians,"Ironside, H. A. (Henry Allan), 1876-1951",2026,Commentaries,Ironside Collection,https://archive.org/download/lecturesonepistl0000iron/lecturesonepistl0000iron_djvu.txt,https://archive.org/download/lecturesonepistl0000iron/lecturesonepistl0000iron_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/lecturesonepistl0000iron/lecturesonepistl0000iron_djvu.txt.,Ironside exposition or Christian living resource for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/lectures-on-the-epistle-to-the-colossians-ironside-h-a-henry-allan-1876-1951.txt,46978,5.2,lectures on the epistle to the colossians|ironside h a henry allan 1876 1951,1
3,Tier 1 - core beta study library,Commentary,1485,Notes on the book of Nehemiah,"Ironside, H. A. (Henry Allan), 1876-1951",2026,Commentaries,Ironside Collection,https://archive.org/download/notesonbookofneh0000iron/notesonbookofneh0000iron_djvu.txt,https://archive.org/download/notesonbookofneh0000iron/notesonbookofneh0000iron_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/notesonbookofneh0000iron/notesonbookofneh0000iron_djvu.txt.,Ironside exposition or Christian living resource for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/notes-on-the-book-of-nehemiah-ironside-h-a-henry-allan-1876-1951.txt,31154,3.5,notes on the book of nehemiah|ironside h a henry allan 1876 1951,1
4,Tier 1 - core beta study library,Bible Study Reference,1475,"The new topical text book; a Scripture text book for the use of ministers, teachers, and all Christian workers","Torrey, R. A. (Reuben Archer), 1856-1928",1897,Bible study helps,Torrey Collection,https://archive.org/download/newtopicaltextbo00torr/newtopicaltextbo00torr_djvu.txt,https://archive.org/download/newtopicaltextbo00torr/newtopicaltextbo00torr_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/newtopicaltextbo00torr/newtopicaltextbo00torr_djvu.txt.,"R. A. Torrey Bible study, evangelism, and prayer resource for teachers and serious students. OCR text should be spot-checked before quotation.",data/library/verified/the-new-topical-text-book-a-scripture-text-book-for-the-use-of-ministers-teachers-and-all-christian-workers-to.txt,221293,24.6,the new topical text book a scripture text book for the use of ministers teachers and all christian workers|torrey r a reuben archer 1856 1928,1
5,Tier 1 - core beta study library,Bible Study Reference,1475,"The new topical text book; a Scripture text book for the use of ministers, teachers, and all Christian workers",R. A. Torrey,1897,Bible study helps,R. A. Torrey Collection,https://archive.org/download/newtopicaltextbo01torr/newtopicaltextbo01torr_djvu.txt,https://archive.org/download/newtopicaltextbo01torr/newtopicaltextbo01torr_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/newtopicaltextbo01torr/newtopicaltextbo01torr_djvu.txt.,"R. A. Torrey public-domain Bible study, evangelism, and prayer resource for teachers and serious students.",data/library/verified/the-new-topical-text-book-a-scripture-text-book-for-the-use-of-ministers-teachers-and-all-christian-workers-r-.txt,226243,25.1,the new topical text book a scripture text book for the use of ministers teachers and all christian workers|r a torrey,1
6,Tier 1 - core beta study library,Commentary,1465,Expositor's Bible: The Gospel of St Luke,Henry Burton,2012,Commentaries,Commentary,https://www.gutenberg.org/ebooks/39856,https://www.gutenberg.org/ebooks/39856.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/39856.,Public-domain Luke exposition for teacher preparation.,data/library/verified/expositor-s-bible-the-gospel-of-st-luke-henry-burton.txt,126852,14.1,expositor s bible the gospel of st luke|henry burton,1
7,Tier 1 - core beta study library,Commentary,1465,The Expositor's Bible: The Epistle to the Galatians,"Findlay, George G. (George Gillanders)",2013,Commentaries,Commentary,https://www.gutenberg.org/ebooks/42645,https://www.gutenberg.org/ebooks/42645.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/42645.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/the-expositor-s-bible-the-epistle-to-the-galatians-findlay-george-g-george-gillanders.txt,132296,14.7,the expositor s bible the epistle to the galatians|findlay george g george gillanders,1
8,Tier 1 - core beta study library,Commentary,1455,Expository Thoughts on the Gospels,J. C. Ryle,1857,Commentaries,J. C. Ryle Collection,https://archive.org/download/expositorythough07ryle/expositorythough07ryle_djvu.txt,https://archive.org/download/expositorythough07ryle/expositorythough07ryle_djvu.txt,verified,verified_allowed_public_domain,Internet Archive item expositorythough07ryle lists possible copyright status NOT_IN_COPYRIGHT. Direct IA OCR text imported for beta reading with use-with-discernment and OCR spot-check labels.,"Gospel exposition for family study, teaching preparation, and commentary comparison.",data/library/verified/expository-thoughts-on-the-gospels-j-c-ryle.txt,226208,25.1,expository thoughts on the gospels|j c ryle,1
9,Tier 1 - core beta study library,Commentary,1455,Expository Thoughts on the Gospels: St. Mark,J. C. Ryle,1859,Commentaries,J. C. Ryle Collection,https://archive.org/download/expositorythough00ryleiala/expositorythough00ryleiala_djvu.txt,https://archive.org/download/expositorythough00ryleiala/expositorythough00ryleiala_djvu.txt,verified,verified_allowed_public_domain,Internet Archive item expositorythough00ryleiala lists possible copyright status NOT_IN_COPYRIGHT. Direct IA OCR text imported for beta reading with use-with-discernment and OCR spot-check labels.,Gospel exposition for teaching and commentary comparison after direct Scripture reading.,data/library/verified/expository-thoughts-on-the-gospels-st-mark-j-c-ryle.txt,140479,15.6,expository thoughts on the gospels st mark|j c ryle,1
10,Tier 1 - core beta study library,Commentary,1440,An Exposition of the Gospel of John,William Kelly,1898,Commentaries,William Kelly Collection,https://archive.org/download/bwb_Y0-BSQ-075/bwb_Y0-BSQ-075_djvu.txt,https://archive.org/download/bwb_Y0-BSQ-075/bwb_Y0-BSQ-075_djvu.txt,verified,verified_allowed_public_domain,"Published in 1898, before the current U.S. public-domain cutoff for 2026. Direct Internet Archive OCR text imported from item bwb_Y0-BSQ-075; source edition and OCR quality require spot-check before quotation or public teaching use.",Substantial Kelly exposition for John study and sermon preparation. OCR text should be spot-checked before quotation or public teaching use.,data/library/verified/an-exposition-of-the-gospel-of-john-william-kelly.txt,189067,21.0,an exposition of the gospel of john|william kelly,1
11,Tier 1 - core beta study library,Commentary,1440,Lectures on the Gospel of Matthew,William Kelly,1868,Commentaries,William Kelly Collection,https://archive.org/download/lecturesongospel00kell/lecturesongospel00kell_djvu.txt,https://archive.org/download/lecturesongospel00kell/lecturesongospel00kell_djvu.txt,verified,verified_allowed_public_domain,"Internet Archive item lecturesongospel00kell lists possible copyright status NOT_IN_COPYRIGHT. Open Library/Google Books bibliographic records identify William Kelly, G. Morrish, 1868. Direct IA OCR text imported for beta reading with use-with-discernment labe",Historical brethren exposition for Gospel study and teaching preparation; keep Scripture primary.,data/library/verified/lectures-on-the-gospel-of-matthew-william-kelly.txt,175819,19.5,lectures on the gospel of matthew|william kelly,1
12,Tier 1 - core beta study library,Commentary,1435,Notes on the Gospel of Luke,J. N. Darby,1869,Commentaries,Darby Collection,https://archive.org/download/notesongospellu00darbgoog/notesongospellu00darbgoog_djvu.txt,https://archive.org/download/notesongospellu00darbgoog/notesongospellu00darbgoog_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/notesongospellu00darbgoog/notesongospellu00darbgoog_djvu.txt.,Darby exposition for Luke study and commentary comparison. OCR text should be spot-checked before quotation or public teaching use.,data/library/verified/notes-on-the-gospel-of-luke-j-n-darby.txt,71791,8.0,notes on the gospel of luke|j n darby,1
13,Tier 1 - core beta study library,Commentary,1435,The Gospel of Matthew : An exposition,"Gaebelein, Arno Clemens, 1861-1945",1910,Commentaries,Gaebelein Collection,https://archive.org/download/thegospelofmatth00gaebuoft/thegospelofmatth00gaebuoft_djvu.txt,https://archive.org/download/thegospelofmatth00gaebuoft/thegospelofmatth00gaebuoft_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/thegospelofmatth00gaebuoft/thegospelofmatth00gaebuoft_djvu.txt.,Gaebelein Bible exposition and prophecy study resource. OCR text should be spot-checked before quotation.,data/library/verified/the-gospel-of-matthew-an-exposition-gaebelein-arno-clemens-1861-1945.txt,201490,22.4,the gospel of matthew an exposition|gaebelein arno clemens 1861 1945,1
14,Tier 1 - core beta study library,Commentary,1435,"The Gospel of Matthew: An Exposition, Volume 1",Arno C. Gaebelein,1910,Commentaries,Gaebelein Collection,https://archive.org/download/gospelofmatthewe01gaeb/gospelofmatthewe01gaeb_djvu.txt,https://archive.org/download/gospelofmatthewe01gaeb/gospelofmatthewe01gaeb_djvu.txt,verified,verified_allowed_public_domain,"Published in 1910, before the current U.S. public-domain cutoff for 2026. Direct Internet Archive OCR text imported from item gospelofmatthewe01gaeb; source edition and OCR quality require spot-check before quotation or public teaching use.",Gaebelein exposition for Matthew study and commentary comparison. OCR text should be spot-checked before quotation or public teaching use.,data/library/verified/the-gospel-of-matthew-an-exposition-volume-1-arno-c-gaebelein.txt,90959,10.1,the gospel of matthew an exposition|arno c gaebelein,1
15,Tier 1 - core beta study library,Commentary,1435,The Revelation : an analysis and exposition of the last book of the Bible,"Gaebelein, Arno Clemens, 1861-1945",2026,Commentaries,Gaebelein Collection,https://archive.org/download/revelationanalys0000gaeb/revelationanalys0000gaeb_djvu.txt,https://archive.org/download/revelationanalys0000gaeb/revelationanalys0000gaeb_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/revelationanalys0000gaeb/revelationanalys0000gaeb_djvu.txt.,Gaebelein Bible exposition and prophecy study resource. OCR text should be spot-checked before quotation.,data/library/verified/the-revelation-an-analysis-and-exposition-of-the-last-book-of-the-bible-gaebelein-arno-clemens-1861-1945.txt,62774,7.0,the revelation an analysis and exposition of the last book of the bible|gaebelein arno clemens 1861 1945,1
16,Tier 1 - core beta study library,Commentary,1435,The revelation an analysis and exposition of the last book of the bible,Arno C. Gaebelein,1915,Commentaries,Gaebelein Collection,https://archive.org/download/revelation0000unse_w4a2/revelation0000unse_w4a2_djvu.txt,https://archive.org/download/revelation0000unse_w4a2/revelation0000unse_w4a2_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/revelation0000unse_w4a2/revelation0000unse_w4a2_djvu.txt.,Gaebelein Bible exposition and prophecy study resource. OCR text should be spot-checked before quotation.,data/library/verified/the-revelation-an-analysis-and-exposition-of-the-last-book-of-the-bible-arno-c-gaebelein-2.txt,61953,6.9,the revelation an analysis and exposition of the last book of the bible|arno c gaebelein,1
