title,author_or_ministry,resource_type,source_url,permission_status,approved_public_use,not_approved_without_followup,priority,review_status,recommended_use,notes
Understanding the Bible,Dr. David H. Sorenson / Northstar Ministries,Whole-Bible commentary,https://northstarministries.com/product/understanding-the-bible/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Full-text hosting; commentary import; audio/video hosting; AI/TTS narration; paid subscription inclusion",Highest,Needs title-level review,"Commentary Explorer; Bible book/chapter recommendations; official purchase link","Northstar shop says this is an 11-volume commentary set. Treat as metadata/link/excerpt only until broader rights are confirmed."
The Majesty of the Psalms - Ebook,Dr. David H. Sorenson / Northstar Ministries,Psalms commentary / devotional exposition,https://northstarministries.com/product/the-majesty-of-the-psalms-ebook/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Full-text hosting; audio/video hosting; AI/TTS narration; paid subscription inclusion",High,Needs title-level review,"Psalms ecosystem; devotional commentary; recommended resources","Official product listing identifies this as an ebook on Psalms."
Understanding the Bible - USB A & C Flash Drive,Dr. David H. Sorenson / Northstar Ministries,Whole-Bible commentary digital format,https://northstarministries.com/product/understanding-the-bible-usb-a-flash-drive/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Module/file hosting; full-text hosting; AI/TTS narration; paid subscription inclusion",High,Needs title-level review,"Commentary Explorer official purchase option","Same work as Understanding the Bible; group under one work card as alternate format."
When He Shall Come: Christ's Second Coming and Associated Events,Dr. David H. Sorenson / Northstar Ministries,Prophecy / doctrine,https://northstarministries.com/product/when-he-shall-come-christs-second-coming-and-associated-events/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Full-text hosting; audio/video hosting; AI/TTS narration; paid subscription inclusion",High,Needs title-level review,"Prophecy study; Daniel/Revelation ecosystem; eschatology resources","Useful for prophecy and dispensational study; review doctrinal notes before public recommendation."
Understanding the Bible (DOWNLOAD),Dr. David H. Sorenson / Northstar Ministries,Whole-Bible commentary digital download,https://northstarministries.com/product/understanding-the-bible-download/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Download/file hosting; full-text hosting; AI/TTS narration; paid subscription inclusion",High,Needs title-level review,"Commentary Explorer official purchase option","Same work as Understanding the Bible; group under one work card as alternate format."
Empowered by the Devil,Dr. David H. Sorenson / Northstar Ministries,Doctrine / discernment,https://northstarministries.com/product/empowered-by-the-devil/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Full-text hosting; audio/video hosting; AI/TTS narration; paid subscription inclusion",Medium,Needs title-level review,"Doctrine/discernment shelf; sermon resource","Review tone and doctrinal fit before recommending."
Neither Oldest Nor Best,Dr. David H. Sorenson / Northstar Ministries,KJV / textual issues,https://northstarministries.com/product/neither-oldest-nor-best/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Full-text hosting; audio/video hosting; AI/TTS narration; paid subscription inclusion",High,Needs title-level review,"KJV / English Bible history shelf; textual issue study","Official listing presents arguments about Sinaiticus/Vaticanus; review carefully for citation/excerpt quality."
God's Perfect Book,Dr. David H. Sorenson / Northstar Ministries,KJV / Bible preservation,https://northstarministries.com/product/perfect-book/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Full-text hosting; audio/video hosting; AI/TTS narration; paid subscription inclusion",High,Needs title-level review,"KJV study shelf; Bible doctrine resource","Good candidate for KJV defense/recommendation after review."
Touch Not the Unclean Thing,Dr. David H. Sorenson / Northstar Ministries,KJV / separation / textual issues,https://northstarministries.com/product/touch-not-the-unclean-thing/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Full-text hosting; audio/video hosting; AI/TTS narration; paid subscription inclusion",Medium,Needs title-level review,"KJV/textual issue shelf; pastoral discernment","Review title and topic carefully before public recommendation."
The Proverbs,Dr. David H. Sorenson / Northstar Ministries,Proverbs commentary / wisdom,https://northstarministries.com/product/the-proverbs/,Permission Granted - Scoped,"Official link; cover graphic; excerpts","Full-text hosting; audio/video hosting; AI/TTS narration; paid subscription inclusion",High,Needs title-level review,"Proverbs study; daily growth; wisdom resources","Strong fit for Proverbs of the day and Bible book ecosystem."
