score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra55exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra55exel/biblicalillustra55exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra55exel,Biblical Illustrator,1362
135,"Life and works of Rev. Charles H. Spurgeon [microform] : being a graphic account of the greatest preacher of modern times : his boyhood and early life, wonderful success in London, preaching to vast audiences at the Crystal Palace, Surrey Music Hall and in the open air, famous Metropolitan Tabernacle, Pastor's College, orphanage, etc., etc. : containing personal anecdotes, vivid descriptions of his appearance ... : to which is added a vast collection of his eloquent sermons, brilliant writings, and witty sayings","Northrop, Henry Davenport, 1836-1909",https://archive.org/download/cihm_29647/cihm_29647_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching, prayer, revival, or teaching resource for sermon preparation and Christian living. OCR text should be spot-checked before quotation.",1890,cihm_29647,Spurgeon,1161
135,"Life and works of Rev. Charles H. Spurgeon being a graphic account of the greatest preacher of modern time [microform] : his boyhood and early life, wonderful successes in London ... containing personal anecdotes, vivid descriptions of his appearance ... to which is added a vast collection of his eloquent sermons, brilliant writings, and witty sayings","Northrop, Henry Davenport, 1836-1909",https://archive.org/download/cihm_11370/cihm_11370_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching, prayer, revival, or teaching resource for sermon preparation and Christian living. OCR text should be spot-checked before quotation.",1890,cihm_11370,Spurgeon,851
135,Sermons preached and revised by te Rev. C. H. Spurgeon,"Spurgeon, C. H. (Charles Haddon), 1834-1892",https://archive.org/download/sermonspreached01spurgoog/sermonspreached01spurgoog_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching, prayer, revival, or teaching resource for sermon preparation and Christian living. OCR text should be spot-checked before quotation.",1859,sermonspreached01spurgoog,Spurgeon,567
120,"Meditations from the pen of Mrs. Maria W. Stewart, (widow of the late James W. Stewart,) now matron of the Freedmen's Hospital, and presented in 1832 to the First African Baptist Church and Society of Boston, Mass. ..","Stewart, Maria W. Miller, 1863-",https://archive.org/download/meditationsfromp00stew/meditationsfromp00stew_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1879,meditationsfromp00stew,Baptist History,4433
120,The history of Negro Baptists in Mississippi,"Thompson, Patrick H., 1866-; Woodson, Carter Godwin, 1875-1950, former owner. GEU; Association for the Study of African-American Life and History, former owner. GEU",https://archive.org/download/12642935.22778.emory.edu/12642935.22778.emory.edu_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1898,12642935.22778.emory.edu,Baptist History,4051
120,"The missionary gazetteer, comprising a geographical and statistical account of the various stations of the church, London, Moravian, Wesleyan, Baptist, and American, missionary societies etc., with their progress in evangelization and civilization","Williams, Charles, 1796-1866",https://archive.org/download/missionarygazet02willgoog/missionarygazet02willgoog_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1828,missionarygazet02willgoog,Baptist History,2792
120,"The lone star, the history of the Telugu mission of the American Baptist Missionary Union [microform]","Downie, David, 1838-1927",https://archive.org/download/cihm_05915/cihm_05915_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1893,cihm_05915,Baptist History,2217
120,"A general history of the Sabbatarian churches; embracing accounts of the Armenian, East Indian, and Abyssinian episcopacies in Asia and Africa, the Waldenses, Semi-Judaisers, and Sabbatarian Anabaptists of Europe; with the Seventh-day Baptist denominaton in the United States","Davis, Tamar, Mrs",https://archive.org/download/generalhistoryof00davi/generalhistoryof00davi_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1851,generalhistoryof00davi,Baptist History,2171
120,"The missionary gazetteer [microform] : comprising a geographical and statistical account of the various stations of the church, London, Moravian, Wesleyan, Baptist, and American, missionary societies, &c. & c. &c. with their progress in evangelization and civilization","Williams, Charles, 1796-1866",https://archive.org/download/cihm_48036/cihm_48036_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1828,cihm_48036,Baptist History,2165
120,"The story of a 100 years, 1820-1920 : being the history of the Baptist Church in South Africa","Batts, H. J",https://archive.org/download/storyof100years100batt/storyof100years100batt_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1922,storyof100years100batt,Baptist History,2164
