priority,title,author_or_ministry,resource_type,shareable_category,source_url,rights_status,approved_public_use,not_approved_without_followup,review_status,recommended_use,notes
1,Does Salvation Make a Difference?,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/free_ebooks/does_salvation.php,Public policy verified - official-link cataloging only; written request pending,"Official title metadata; citation; official title-page link; free-resource listing","Cover art; excerpts; ebook or media hosting; embeds; transcripts; AI/TTS; PowerPoint or presentation export; paid access; resale",Preliminary title-page review complete - full content review pending,Salvation and evangelism shelf,"Official page verified 2026-08-15. Review the full book against the app's Gospel and Lordship-salvation criteria before recommendation."
2,The Bible's Proof,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/free_ebooks/bibles_proof.php,Public policy verified - official-link cataloging only; written request pending,"Official title metadata; citation; official title-page link; free-resource listing","Cover art; excerpts; ebook or media hosting; embeds; transcripts; AI/TTS; PowerPoint or presentation export; paid access; resale",Preliminary title-page review complete - full content review pending,Apologetics and Bible defense shelf,"Official page verified 2026-08-15. The stated scope is Bible-evidence apologetics; full content and citation review remains required."
3,The Bible's Amazing Story,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/free_ebooks/bibles_amazing_story.php,Public policy verified - official-link cataloging only; written request pending,"Official title metadata; citation; official title-page link; free-resource listing","Cover art; excerpts; ebook or media hosting; embeds; transcripts; AI/TTS; PowerPoint or presentation export; paid access; resale",Preliminary title-page review complete - full content review pending,Bible overview and new believer path,"Official page verified 2026-08-15. The stated audience is evangelism and new converts; full doctrinal and Scripture-wording review remains required."
4,Questions Answered on the Bible & Christianity,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/free_ebooks/questions_answered.php,Public policy verified - official-link cataloging only; written request pending,"Official title metadata; citation; official title-page link; free-resource listing","Cover art; excerpts; ebook or media hosting; embeds; transcripts; AI/TTS; PowerPoint or presentation export; paid access; resale",Preliminary title-page review complete - full content review pending,Bible Q&A and study help,"Official page verified 2026-08-15. Broad apologetics coverage makes answer-level source and tone review necessary before recommendation."
5,The Bible Knowledge Test,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/free_ebooks/bible-knowledge-test.php,Public policy verified - official-link cataloging only; written request pending,"Official title metadata; citation; official title-page link; free-resource listing","Cover art; excerpts; ebook or media hosting; embeds; transcripts; AI/TTS; PowerPoint or presentation export; paid access; resale",Preliminary title-page review complete - full content review pending,Teaching and class review,"Official page verified 2026-08-15. Keep as an external self-assessment candidate until question wording and answer key are reviewed."
6,Ideas for Evangelism,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Evangelism path,"Practical ministry candidate."
7,Fundamental Baptists and Quick Prayerism,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Evangelism and gospel clarity,"Review carefully for tone and doctrinal labeling."
8,The Calvinism Debate,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Doctrine comparison,"Use with clear app doctrinal notes after review."
9,The Seven Churches of Revelation Then and Now,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Revelation ecosystem and sermon prep,"Potentially strong Revelation teaching supplement."
10,Bible Prophecies Fulfilled Today,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Prophecy study,"Review prophecy framing and source citations before recommendation."
11,Prophetic Signs of the Times,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Prophecy study,"Useful for Daniel/Revelation resource recommendations if reviewed."
12,In the Footsteps of Bible Translators,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,KJV / English Bible history,"Good fit for Bible history path."
13,Dynamic Equivalency: Death Knell of Pure Scripture,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,KJV / textual issues,"Review carefully for tone and source documentation."
14,Unholy Hands on God's Holy Book: A Report on the United Bible Societies,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,KJV / textual issues,"Potential KJV defense resource; needs citation review."
15,What about Ruckman?,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,KJV / discernment,"Use with careful context and charity."
16,Biblical Separatism and Its Collapse among Fundamental Baptists,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Baptist history and doctrine,"Potential Baptist history/discernment resource."
17,The Collapse of Separation among Fundamental Baptists,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Baptist history and doctrine,"Review tone and historical citations."
18,Protestant Persecution of Baptists,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Baptist history,"Good fit for Baptist history shelf if reviewed."
19,New Testament Church Discipline,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church doctrine and pastoral ministry,"Useful for pastor and church doctrine paths."
20,Keys to Fruitful Church Membership,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church membership and Christian living,"Good practical discipleship candidate."
21,The Pastor's Authority and the Church Member's Responsibility,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Pastoral ministry and church life,"Review carefully for balance and app placement."
22,Reviving a Church That Is Lukewarm,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Revival and church life,"Good preaching and revival shelf candidate."
23,A Baptist Church on the Slippery Slope,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Baptist church issues,"Needs careful title-level review before recommendation."
24,Baptist Music Wars,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Music and church life,"Use with clear category and doctrinal notes."
25,Southern Gospel Music,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Music and discernment,"Review before public recommendation."
26,What Every Christian Should Know about Rock,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Music and Christian living,"Review for tone and audience."
27,Rock & Roll's War against God,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Music and discernment,"Review before public placement."
28,The Transformational Power of Contemporary Praise Music,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Worship and church music,"Good candidate for worship/music discernment if reviewed."
