title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"Selected Sermons of Jonathan Edwards","Jonathan Edwards","https://www.gutenberg.org/cache/epub/34632/pg34632.txt","Preaching & Teaching","Preaching & Teaching","verified","reviewed","Historical value; Use with discernment","Public-domain sermon collection useful for preaching history, theology, and teaching comparison. Scripture remains primary."
"George Whitefield: A Biography, with special reference to his labors in America","Joseph Belcher","https://www.gutenberg.org/ebooks/44140","Biographies","Revival & Awakening","verified","reviewed","Historical value","Public-domain biography for revival history, evangelism, and preaching background."
"The Life of the Rev. George Whitefield, Volume 1","L. Tyerman","https://www.gutenberg.org/ebooks/44280","Biographies","Revival & Awakening","verified","reviewed","Historical value","Public-domain Whitefield biography for revival history and preacher biography reading."
"The Life of the Rev. George Whitefield, Volume 2","L. Tyerman","https://www.gutenberg.org/ebooks/62023","Biographies","Revival & Awakening","verified","reviewed","Historical value","Public-domain Whitefield biography continuation for revival history and preacher biography reading."
"The Great Revival of the Eighteenth Century: With a supplemental chapter on the revival in America","Edwin Paxton Hood","https://www.gutenberg.org/ebooks/61062","Christian Living","Revival & Awakening","verified","reviewed","Historical value","Public-domain revival history for preaching, evangelism, and devotional encouragement."
"New Tabernacle Sermons","T. De Witt Talmage","https://www.gutenberg.org/ebooks/14139","Preaching & Teaching","Preaching & Teaching","verified","reviewed","Historical value; Use with discernment","Public-domain sermon collection for illustration, preaching style, and teaching preparation."
"Sermons of Christmas Evans","Christmas Evans","https://www.gutenberg.org/ebooks/42340","Preaching & Teaching","Preaching & Teaching","verified","reviewed","Historical value; Use with discernment","Public-domain Welsh Baptist sermon collection for preaching history and homiletic study."
"Human Nature, and Other Sermons","Joseph Butler","https://www.gutenberg.org/ebooks/3150","Preaching & Teaching","Preaching & Teaching","verified","reviewed","Historical value; Use with discernment","Public-domain sermon/theology collection for moral and doctrinal reflection."
"Sermons on the Card, and Other Discourses","Hugh Latimer","https://www.gutenberg.org/ebooks/2458","Preaching & Teaching","Reformation & Church History","verified","reviewed","Historical value; Use with discernment","Public-domain Reformation sermon collection for church history, preaching history, and teaching background."
"All Saints' Day and Other Sermons","Charles Kingsley","https://www.gutenberg.org/ebooks/10116","Preaching & Teaching","Preaching & Teaching","verified","reviewed","Historical value; Use with discernment","Public-domain sermon collection for historical preaching comparison and devotional reading."
"Sermons on National Subjects","Charles Kingsley","https://www.gutenberg.org/ebooks/8202","Preaching & Teaching","Preaching & Teaching","verified","reviewed","Historical value; Use with discernment","Public-domain sermon collection for historical preaching comparison."
"Twenty-Five Village Sermons","Charles Kingsley","https://www.gutenberg.org/ebooks/7954","Preaching & Teaching","Preaching & Teaching","verified","reviewed","Historical value; Use with discernment","Public-domain sermon collection for pastoral and village preaching examples."
"The Christian Life: Its Course, Its Hindrances, and Its Helps","Thomas Arnold","https://www.gutenberg.org/ebooks/13151","Christian Living","Christian Living","verified","reviewed","Historical value; Use with discernment","Public-domain Christian living resource for discipleship, application, and devotional study."
"Studies in the Life of the Christian: His Faith and His Service","Henry T. Sell","https://www.gutenberg.org/ebooks/7338","Christian Living","Christian Living","verified","reviewed","Historical value","Public-domain Christian life study for discipleship and class discussion."
"Riches of Grace: A Compilation of Experiences in the Christian Life","E. E. Byrum","https://www.gutenberg.org/ebooks/36476","Christian Living","Christian Living","verified","reviewed","Historical value; Use with discernment","Public-domain testimonies and Christian living resource for devotional encouragement."
"Kanamori's Life-Story: How the Higher Criticism Wrecked a Japanese Christian—and How He Came Back","Paul M. Kanamori","https://www.gutenberg.org/ebooks/74257","Biographies","Missions Collection","verified","reviewed","Historical value; Use with discernment","Public-domain testimony and missions-adjacent biography, useful for warnings about higher criticism and restoration."
"Valeria, the Martyr of the Catacombs: A Tale of Early Christian Life in Rome","W. H. Withrow","https://www.gutenberg.org/ebooks/33484","Fiction/classics","Martyrs / Persecuted Church","verified","reviewed","Historical value; Fiction","Public-domain historical Christian fiction connected to martyrdom themes; label as fiction and use for reading, not doctrine."
"The History of Christianity","John S. C. Abbott","https://www.gutenberg.org/ebooks/59400","Bible study helps","Church History","verified","reviewed","Historical value; Use with discernment","Public-domain church history overview for background reading and teaching context."
"The Journal of George Fox, Volume 1","George Fox","https://www.gutenberg.org/ebooks/75559","Biographies","Church History","verified","reviewed","Historical value; Use with discernment","Public-domain historical religious biography; useful for church history with doctrinal discernment labels."
"The Journal of George Fox, Volume 2","George Fox","https://www.gutenberg.org/ebooks/75590","Biographies","Church History","verified","reviewed","Historical value; Use with discernment","Public-domain historical religious biography continuation; useful for church history with doctrinal discernment labels."
