title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
The Bible of the Reformation : its translators and their work,"Heaton, W. J. (William James), 1845-",https://archive.org/download/bibleofreformati0000heat/bibleofreformati0000heat_djvu.txt,KJV / Textual Issues,KJV Defense / English Bible History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,English Bible and textual-history background for KJV study with careful source review. OCR should be spot-checked before quotation.
"Our own English Bible : its translators and their work, the manuscript period","Heaton, William James, 1845-",https://archive.org/download/ourownenglishbib00heatuoft/ourownenglishbib00heatuoft_djvu.txt,KJV / Textual Issues,KJV Defense / English Bible History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,English Bible and textual-history background for KJV study with careful source review. OCR should be spot-checked before quotation.
"The Puritan Bible : and other contemporaneous Protestant versions : being the third volume of ""Our own English Bible ; its translators and their work"" : illustrated","Heaton, William James, 1845-",https://archive.org/download/puritanbible0000unse/puritanbible0000unse_djvu.txt,KJV / Textual Issues,KJV Defense / English Bible History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,English Bible and textual-history background for KJV study with careful source review. OCR should be spot-checked before quotation.
The revision revised : three articles reprinted from the 'Quarterly review' : I. The new Greek text. II. The new English version. III. Westcott and Hort's new textual theory ; to which is added a reply to Bishop Ellicott's pamphlet in defence of the revisers and their Greek text of the New Testament,"Burgon, John William, 1813-1888",https://archive.org/download/revisionrevisedt00burg/revisionrevisedt00burg_djvu.txt,KJV / Textual Issues,KJV Defense / English Bible History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,English Bible and textual-history background for KJV study with careful source review. OCR should be spot-checked before quotation.
"A History of the English Baptists, Volume 3","Ivimey, Joseph, 1773-1834",https://archive.org/download/historyofenglish03ivim/historyofenglish03ivim_djvu.txt,Baptist History,Baptist History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,"Baptist history and church-history background for pastors, teachers, and serious readers. OCR should be spot-checked before quotation."
"A History of the English Baptists, Volume 4","Ivimey, Joseph",https://archive.org/download/historyofenglish0004ivim/historyofenglish0004ivim_djvu.txt,Baptist History,Baptist History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,"Baptist history and church-history background for pastors, teachers, and serious readers. OCR should be spot-checked before quotation."
A history of the Baptists in New England,"Burrage, Henry S. (Henry Sweetser), 1837-1926; American Baptist Publication Society",https://archive.org/download/historyofbaptist00burr/historyofbaptist00burr_djvu.txt,Baptist History,Baptist History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,"Baptist history and church-history background for pastors, teachers, and serious readers. OCR should be spot-checked before quotation."
"The History of the English General Baptists, Volume 1","Taylor, Adam",https://archive.org/download/historyofenglish01tayl/historyofenglish01tayl_djvu.txt,Baptist History,Baptist History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,"Baptist history and church-history background for pastors, teachers, and serious readers. OCR should be spot-checked before quotation."
"The History of the English General Baptists, Volume 2","Taylor, Adam",https://archive.org/download/historyofenglish02tayl/historyofenglish02tayl_djvu.txt,Baptist History,Baptist History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,"Baptist history and church-history background for pastors, teachers, and serious readers. OCR should be spot-checked before quotation."
"The Early English Baptists, Volume 1","Evans, Benjamin, 1803-1871",https://archive.org/download/earlyenglishbapt01evan/earlyenglishbapt01evan_djvu.txt,Baptist History,Baptist History,verified,reviewed,Historical value; Use with discernment; OCR spot-check needed; Review before quoting,"Baptist history and church-history background for pastors, teachers, and serious readers. OCR should be spot-checked before quotation."
