title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
The Hebrew Monarchy (An Interpretation of the English Bible),B. H. Carroll,https://archive.org/download/hebrewmonarchyan0000bhca/hebrewmonarchyan0000bhca_djvu.txt,Commentaries,B. H. Carroll Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
Baptists And Their Doctrines,B. H. Carroll,https://archive.org/download/bwb_Y0-BNY-032/bwb_Y0-BNY-032_djvu.txt,Commentaries,B. H. Carroll Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
The Genesis of American Anti-Missionism,"B. H. Carroll, Jr.",https://archive.org/download/genesisofamerica0000bhca/genesisofamerica0000bhca_djvu.txt,Commentaries,B. H. Carroll Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra191exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra191exel/biblicalillustra191exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra451exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra451exel/biblicalillustra451exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra282exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra282exel/biblicalillustra282exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra233exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra233exel/biblicalillustra233exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
The pulpit commentary (cu31924101104564),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104564/cu31924101104564_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
The pulpit commentary (thepulpitcomment09spenuoft),"Spence-Jones, Henry Donald Maurice, 1836-1917",https://archive.org/download/thepulpitcomment09spenuoft/thepulpitcomment09spenuoft_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
The pulpit commentary (cu31924101104952),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104952/cu31924101104952_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.
