title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
The Biblical Illustrator - Archive Volume 1,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra47exel/biblicalillustra47exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 1; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 2,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra232exel/biblicalillustra232exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 2; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 3,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra06exel/biblicalillustra06exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 3; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 4,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra441exel/biblicalillustra441exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 4; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 5,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra40exel/biblicalillustra40exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 5; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 6,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra13exel/biblicalillustra13exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 6; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 7,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra281exel/biblicalillustra281exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 7; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 8,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra50exel/biblicalillustra50exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 8; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 9,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra231exel/biblicalillustra231exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 9; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 10,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra423exel/biblicalillustra423exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 10; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
