title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
Pulpit Commentary - Archive Volume 6,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104747/cu31924101104747_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 6; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 7,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/thepulpitcomment15spenuoft/thepulpitcomment15spenuoft_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 7; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 8,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924098499522/cu31924098499522_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 8; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 9,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104804/cu31924101104804_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 9; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 10,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104697/cu31924101104697_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 10; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 11,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104705/cu31924101104705_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 11; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 12,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104937/cu31924101104937_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 12; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 13,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104929/cu31924101104929_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 13; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 1,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet30newy/preacherscomplet30newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 1; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 2,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet29newy/preacherscomplet29newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 2; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 3,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomple02unkngoog/preacherscomple02unkngoog_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 3; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 4,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet10newy/preacherscomplet10newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 4; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 5,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet09newy/preacherscomplet09newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 5; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 6,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet12newy/preacherscomplet12newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 6; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 7,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet01newy/preacherscomplet01newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 7; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 8,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet31newy/preacherscomplet31newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 8; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 13,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra62exel/biblicalillustra62exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 13; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 14,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra05exel/biblicalillustra05exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 14; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 15,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra581exel/biblicalillustra581exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 15; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
The Biblical Illustrator - Archive Volume 16,Joseph S. Exell and T. F. Peachey,https://archive.org/download/biblicalillustra41exel/biblicalillustra41exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Biblical Illustrator archive volume 16; use for verse-level sermon illustrations, homiletical notes, and teaching preparation after Scripture study. OCR should be spot-checked before quotation."
Authorized Version 1611 Facsimile,"Pollard, Alfred W. (Alfred William), 1859-1944",https://archive.org/download/holybiblefacsimi00polluoft/holybiblefacsimi00polluoft_djvu.txt,KJV / Textual Issues,KJV / English Bible History,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical reference work,"Public-domain English Bible, concordance, or textual reference resource for KJV study, word study, and teaching preparation. OCR should be spot-checked before quotation."
The Newberry Bible: Authorized Version Study Edition,"Newberry, Thomas, 1810?-1901; Hodder and Stoughton; Massachusetts Bible Society",https://archive.org/download/holybiblearrange00newb/holybiblearrange00newb_djvu.txt,KJV / Textual Issues,KJV / English Bible History,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical reference work,"Public-domain English Bible, concordance, or textual reference resource for KJV study, word study, and teaching preparation. OCR should be spot-checked before quotation."
Young's Analytical Concordance to the Bible,"Young, Robert",https://archive.org/download/analyticalconcor00inyoun/analyticalconcor00inyoun_djvu.txt,Cross References,Concordance and Word Study,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical reference work,"Public-domain English Bible, concordance, or textual reference resource for KJV study, word study, and teaching preparation. OCR should be spot-checked before quotation."
The Englishman's Greek New Testament,"Stephens, Robert, 1503-1559",https://archive.org/download/englishmansgreek00step/englishmansgreek00step_djvu.txt,KJV / Textual Issues,KJV / English Bible History,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical reference work,"Public-domain English Bible, concordance, or textual reference resource for KJV study, word study, and teaching preparation. OCR should be spot-checked before quotation."
The Sword and the Trowel - Spurgeon Magazine Volume,C. H. Spurgeon,https://archive.org/download/swordandtrowela00spurgoog/swordandtrowela00spurgoog_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical Baptist magazine,"Public-domain Spurgeon-era ministry magazine for preaching helps, Baptist history, illustrations, and historical context. OCR should be spot-checked before quotation."
