title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
Pulpit Commentary - Archive Volume 14,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104853/cu31924101104853_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 14; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 15,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104986/cu31924101104986_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 15; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 16,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104630/cu31924101104630_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 16; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 17,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104762/cu31924101104762_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 17; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 18,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101105009/cu31924101105009_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 18; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Pulpit Commentary - Archive Volume 19,H. D. M. Spence-Jones and Pulpit Commentary Editors,https://archive.org/download/cu31924101104671/cu31924101104671_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Pulpit Commentary archive volume 19; useful for sermon preparation, chapter study, and historical exposition. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 9,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet08newy/preacherscomplet08newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 9; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 10,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet26newy/preacherscomplet26newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 10; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 11,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet24newy/preacherscomplet24newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 11; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
Preacher's Complete Homiletical Commentary - Archive Volume 12,Preacher's Complete Homiletical Commentary Editors,https://archive.org/download/preacherscomplet27newy/preacherscomplet27newy_djvu.txt,Preaching & Teaching,Preacher's Complete Homiletical Commentary,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical homiletical commentary,"Public-domain Preacher's Complete Homiletical Commentary archive volume 12; useful for lesson outlines, applications, and sermon preparation. OCR should be spot-checked before quotation."
