score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra462exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra462exel/biblicalillustra462exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra462exel,Biblical Illustrator,1408
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra60exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra60exel/biblicalillustra60exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra60exel,Biblical Illustrator,1387
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra48exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra48exel/biblicalillustra48exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra48exel,Biblical Illustrator,1308
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra21exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra21exel/biblicalillustra21exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra21exel,Biblical Illustrator,1305
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra66exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra66exel/biblicalillustra66exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra66exel,Biblical Illustrator,1249
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra432exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra432exel/biblicalillustra432exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra432exel,Biblical Illustrator,1225
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra03exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra03exel/biblicalillustra03exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra03exel,Biblical Illustrator,1222
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra67exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra67exel/biblicalillustra67exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra67exel,Biblical Illustrator,992
165,"The Biblical Illustrator: or Anecdotes, Similes, Emblems, Illustrations; Expository, Scientific, Geographical, Historical, and Homiletic, Gathered from a Wide Range of Home and Foreign Literature, on the Verses of the Bible; Romans. Volume I. (biblicalillustra0000unse_p4j6)",Joseph S. Exell,https://archive.org/download/biblicalillustra0000unse_p4j6/biblicalillustra0000unse_p4j6_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra0000unse_p4j6,Biblical Illustrator,124
120,The pulpit commentary (cu31924101104507),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104507/cu31924101104507_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104507,Pulpit Commentary,2109
