title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
History of the English Baptist Missionary Society,F. A. Cox,https://archive.org/download/historyofenglish00coxf/historyofenglish00coxf_djvu.txt,Missions,Baptist Missions,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical missions history,"Public-domain Baptist missions history for missions teaching, Baptist history, and missionary biography context. Spot-check OCR before quotation."
The Early Baptist History of Portsmouth and the Formation of the Churches in the Town,Frederick Ridoutt,https://archive.org/download/earlybaptisthis00unkngoog/earlybaptisthis00unkngoog_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment; OCR spot-check needed; local church history,"Public-domain Baptist history resource for church heritage, Baptist identity, and historical study. Spot-check OCR before quotation."
History of the Miami Baptist Association,A. H. Dunlevy,https://archive.org/download/historyofmiamiba00dunl/historyofmiamiba00dunl_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment; OCR spot-check needed; association history,"Public-domain Baptist association history for Baptist heritage, pastors, and church history study. Spot-check OCR before quotation."
A General History of the Baptist Denomination in America Volume 2,David Benedict,https://archive.org/download/generalhistoryof0002davi/generalhistoryof0002davi_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical Baptist source,"Public-domain Baptist history classic for pastors, teachers, and Baptist history readers. Spot-check OCR before quotation."
The Gospel in Central America,Frederick Crowe,https://archive.org/download/gospelincentral00crowgoog/gospelincentral00crowgoog_djvu.txt,Missions,Missions,verified public domain,reviewed,Use with discernment; OCR spot-check needed; missions history,"Public-domain missions and Bible-distribution history for missions lessons, geography, and evangelism context. Spot-check OCR before quotation."
Brief Narrative of the Baptist Mission in India,Baptist Missionary Society,https://archive.org/download/briefnarrativeof00bapt/briefnarrativeof00bapt_djvu.txt,Missions,Baptist Missions,verified public domain,reviewed,Use with discernment; OCR spot-check needed; missions history,"Public-domain Baptist missions report covering India and Scripture translation work. Useful for missions study and historical illustrations."
An Account of the American Baptist Mission to the Burman Empire,Ann Hasseltine Judson,https://archive.org/download/accountofamerica00juds/accountofamerica00juds_djvu.txt,Missions,Missions,verified public domain,reviewed,Use with discernment; OCR spot-check needed; missionary letters,"Public-domain missionary history connected to Adoniram and Ann Judson. Useful for missions biography, courage, suffering, and prayer lessons."
Biography of Elder Lott Cary Late Missionary to Africa,James B. Taylor,https://archive.org/download/biographyofelder00tayl/biographyofelder00tayl_djvu.txt,Biographies,Missions,verified public domain,reviewed,Use with discernment; OCR spot-check needed; missionary biography,"Public-domain biography of Lott Cary for missions, Baptist history, and African mission studies. Spot-check OCR before quotation."
Alfred Saker Missionary to Africa,Edward Bean Underhill,https://archive.org/download/alfredsakermissi00unde/alfredsakermissi00unde_djvu.txt,Biographies,Missions,verified public domain,reviewed,Use with discernment; OCR spot-check needed; missionary biography,"Public-domain missionary biography for missions teaching, sermon illustrations, and perseverance studies. Spot-check OCR before quotation."
The Life and Explorations of Frederick Stanley Arnot,Ernest Baker,https://archive.org/download/lifeexploration00bake/lifeexploration00bake_djvu.txt,Biographies,Missions,verified public domain,reviewed,Use with discernment; OCR spot-check needed; missionary biography,"Public-domain missionary biography for Africa missions, geography, courage, and faithfulness themes. Spot-check OCR before quotation."
