title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
George Muller of Bristol,Arthur T. Pierson,https://archive.org/download/in.ernet.dli.2015.123646/in.ernet.dli.2015.123646_djvu.txt,Biographies,Prayer and Faith Biographies,verified public domain,reviewed,Use with discernment; OCR spot-check needed; devotional biography,"Public-domain missionary and prayer biography for faith, prayer, providence, and Christian living study. Spot-check OCR before quotation."
A Narrative of Some of the Lord's Dealings with George Muller First Part,George Muller,https://www.gutenberg.org/files/37277/37277-0.txt,Biographies,Prayer and Faith Biographies,verified public domain,reviewed,Use with discernment; Project Gutenberg terms; autobiographical testimony,"Public-domain autobiographical testimony for prayer, faith, and providence study. Preserve wording and cite source when quoted."
James Gilmour of Mongolia,Richard Lovett,https://www.gutenberg.org/files/31525/31525-0.txt,Missions,Missionary Biography,verified public domain,reviewed,Use with discernment; Project Gutenberg terms; missionary biography,"Public-domain missionary biography for missions teaching, sacrifice, and evangelism study. Preserve wording and cite source when quoted."
Memoir of the Rev. Henry Martyn,John Sargent,https://archive.org/download/bub_gb_msEEAAAAYAAJ/bub_gb_msEEAAAAYAAJ_djvu.txt,Missions,Missionary Biography,verified public domain,reviewed,Use with discernment; OCR spot-check needed; missionary biography,"Public-domain missionary biography for missions, devotion, and Christian service study. Spot-check OCR before quotation."
The Parables of Our Lord,William Arnot,https://archive.org/download/parablesofourlor1893arno/parablesofourlor1893arno_djvu.txt,Bible study helps,Life of Christ Studies,verified public domain,reviewed,Use with discernment; OCR spot-check needed; parables study,"Public-domain Bible study help for the parables of Christ, Sunday School teaching, and sermon preparation. Spot-check OCR before quotation."
The Trial and Death of Jesus Christ,James Stalker,https://archive.org/download/trialanddeathjc00staluoft/trialanddeathjc00staluoft_djvu.txt,Bible study helps,Life of Christ Studies,verified public domain,reviewed,Use with discernment; OCR spot-check needed; devotional passion study,"Public-domain devotional study on the passion of Christ for teaching, preaching, and personal devotion. Spot-check OCR before quotation."
Imago Christi,James Stalker,https://archive.org/download/imagochristiexam00stal/imagochristiexam00stal_djvu.txt,Christian Living,Life of Christ Studies,verified public domain,reviewed,Use with discernment; OCR spot-check needed; discipleship study,"Public-domain Christian living study on the example of Christ for discipleship and devotional reading. Spot-check OCR before quotation."
The Spirit of Christ,Andrew Murray,https://archive.org/download/TheSpiritOfChrist/TheSpiritOfChrist_djvu.txt,Christian Living,Andrew Murray,verified public domain,reviewed,Use with discernment; OCR spot-check needed; devotional theology,"Public-domain devotional theology for Christian living and spiritual growth. Spot-check OCR before quotation."
The Children for Christ,Andrew Murray,https://archive.org/download/bwb_S0-EBU-331/bwb_S0-EBU-331_djvu.txt,Christian Living,Family and Children,verified public domain,reviewed,Use with discernment; OCR spot-check needed; family discipleship,"Public-domain family and child discipleship resource for parents, teachers, and church workers. Spot-check OCR before quotation."
The Land and the Book Volume 3,William M. Thomson,https://archive.org/download/landbook0003unse/landbook0003unse_djvu.txt,Bible Handbooks,Bible Lands and Geography,verified public domain,reviewed,Use with discernment; OCR spot-check needed; geography and customs,"Public-domain Bible lands and geography resource for Bible background, maps, places, and customs study. Spot-check OCR before quotation."
Sinai and Palestine,Arthur Penrhyn Stanley,https://archive.org/download/sinaipalestinein00stan_2/sinaipalestinein00stan_2_djvu.txt,Bible Handbooks,Bible Lands and Geography,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical geography,"Public-domain historical geography resource for Bible background, places, journeys, and teaching support. Spot-check OCR before quotation."
The New Directory for Baptist Churches,Edward T. Hiscox,https://archive.org/download/newdirectoryfor00hiscgoog/newdirectoryfor00hiscgoog_djvu.txt,Baptist History,Baptist Church Practice,verified public domain,reviewed,Use with discernment; OCR spot-check needed; Baptist polity and practice,"Public-domain Baptist church practice resource for pastors, teachers, and Baptist history study. Spot-check OCR before quotation."
The Baptist Church Directory,Edward T. Hiscox,https://archive.org/download/baptistchurchdir00hisc_0/baptistchurchdir00hisc_0_djvu.txt,Baptist History,Baptist Church Practice,verified public domain,reviewed,Use with discernment; OCR spot-check needed; Baptist polity and practice,"Public-domain Baptist church practice resource for church polity, ordinances, and Baptist identity study. Spot-check OCR before quotation."
Quiet Talks on Service,S. D. Gordon,https://archive.org/download/quiettalksonserv00gorduoft/quiettalksonserv00gorduoft_djvu.txt,Christian Living,Quiet Talks,verified public domain,reviewed,Use with discernment; OCR spot-check needed; devotional service,"Public-domain devotional resource for Christian service, discipleship, and ministry encouragement. Spot-check OCR before quotation."
Quiet Talks about Jesus,S. D. Gordon,https://archive.org/download/quiettalksabout00gordgoog/quiettalksabout00gordgoog_djvu.txt,Christian Living,Quiet Talks,verified public domain,reviewed,Use with discernment; OCR spot-check needed; Christ-centered devotional,"Public-domain devotional resource focused on Christ for personal study, teaching, and devotional reading. Spot-check OCR before quotation."
Quiet Talks on Power,S. D. Gordon,https://archive.org/download/quiettalksonpow02gordgoog/quiettalksonpow02gordgoog_djvu.txt,Christian Living,Quiet Talks,verified public domain,reviewed,Use with discernment; OCR spot-check needed; devotional study,"Public-domain devotional resource for Christian power, service, and spiritual life study. Spot-check OCR before quotation."
