title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
The Great Doctrines of the Bible,William Evans,https://www.gutenberg.org/ebooks/6038,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
The Chosen People: A Compendium of Sacred and Church History for School-Children,Charlotte M. Yonge,https://www.gutenberg.org/ebooks/7284,Bible study helps,Bible Study Essentials,verified public domain,reviewed,,"Bible study help for background, doctrine, and teaching preparation."
"Female Scripture Biography, Volume II Including an Essay on What Christianity Has Done for Women",F. A. Cox,https://www.gutenberg.org/ebooks/9783,Christian Living,Christian Living,verified public domain,reviewed,,Christian living resource for devotional reading and practical application.
The Gospel of the Pentateuch: A Set of Parish Sermons,Charles Kingsley,https://www.gutenberg.org/ebooks/10325,Surveys,Bible Surveys,verified public domain,reviewed,,Bible survey resource for whole-book and whole-Bible understanding.
The Gospels in the Second Century An Examination of the Critical Part of a Work Entitled 'Supernatural Religion',W. Sanday,https://www.gutenberg.org/ebooks/10955,Bible study helps,KJV / Textual Issues,verified public domain,reviewed,KJV / Textual Issues; Historical value,Historical Bible study or textual-issues resource; use for background with doctrinal care.
"Christ: The Way, the Truth, and the Life",John Brown,https://www.gutenberg.org/ebooks/12311,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
Creation and Its Records A Brief Statement of Christian Belief with Reference to Modern Facts and Ancient Scripture,B. H. Baden-Powell,https://www.gutenberg.org/ebooks/12852,Bible study helps,KJV / Textual Issues,verified public domain,reviewed,KJV / Textual Issues; Historical value,Historical Bible study or textual-issues resource; use for background with doctrinal care.
Missionary Survey As An Aid To Intelligent Co-Operation In Foreign Missions,Roland Allen and Thomas Cochrane,https://www.gutenberg.org/ebooks/13360,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
The Hope of the Gospel,George MacDonald,https://www.gutenberg.org/ebooks/14453,Christian Living,Christian Living,verified public domain,reviewed,,Christian living resource for devotional reading and practical application.
Sermons on Various Important Subjects Written Partly on Sundry of the More Difficult Passages in the Sacred Volume,Andrew Lee,https://www.gutenberg.org/ebooks/15031,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,,"Preaching and teaching help for illustrations, exposition, and lesson preparation."
Quiet Talks on John's Gospel,S. D. Gordon,https://www.gutenberg.org/ebooks/15185,Bible study helps,Bible Study Essentials,verified public domain,reviewed,,"Bible study help for background, doctrine, and teaching preparation."
The Bible Period by Period A Manual for the Study of the Bible by Periods,Josiah Blake Tidwell,https://www.gutenberg.org/ebooks/15771,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
Sermons Preached at Brighton Third Series,Frederick William Robertson,https://www.gutenberg.org/ebooks/16645,Commentaries,Commentary,verified public domain,reviewed,,Public-domain commentary or exposition for secondary study after reading Scripture.
An Exposition of the Last Psalme,John Boys,https://www.gutenberg.org/ebooks/17273,Commentaries,Commentary,verified public domain,reviewed,,Public-domain commentary or exposition for secondary study after reading Scripture.
Little Gidding and its inmates in the Time of King Charles I. with an account of the Harmonies,John Edward Acland,https://www.gutenberg.org/ebooks/24984,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
Select Masterpieces of Biblical Literature,Richard G. Moulton,https://www.gutenberg.org/ebooks/27510,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
"Epistle Sermons, Vol. 2: Epiphany, Easter and Pentecost",Martin Luther and John Nicholas Lenker,https://www.gutenberg.org/ebooks/28464,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
