title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
Philippian Studies: Lessons in Faith and Love from St. Paul's Epistle to the Philippians,"Moule, H. C. G. (Handley Carr Glyn)",https://www.gutenberg.org/ebooks/25221,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
The Expositor's Bible: The Epistle to the Hebrews,"Edwards, Thomas Charles and Nicoll, W. Robertson (William Robertson), Sir",https://www.gutenberg.org/ebooks/32968,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
"The Expositor's Bible: The Gospel of St. John, Vol. I","Dods, Marcus and Nicoll, W. Robertson (William Robertson), Sir",https://www.gutenberg.org/ebooks/33151,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
"The Expositor's Bible: The Gospel of St. John, Vol. II","Dods, Marcus and Nicoll, W. Robertson (William Robertson), Sir",https://www.gutenberg.org/ebooks/33288,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
The Expositor's Bible: The Book of Exodus,"Chadwick, G. A. (George Alexander) and Nicoll, W. Robertson (William Robertson), Sir",https://www.gutenberg.org/ebooks/33420,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
Studies in Zechariah,"Gaebelein, Arno Clemens",https://www.gutenberg.org/ebooks/36216,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
The Prophet Ezekiel: An Analytical Exposition,"Gaebelein, Arno Clemens",https://www.gutenberg.org/ebooks/36857,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
Notes on the Book of Genesis,"Mackintosh, Charles Henry",https://www.gutenberg.org/ebooks/37915,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
The Expositor's Bible: The First Book of Samuel,"Blaikie, William Garden and Nicoll, W. Robertson (William Robertson), Sir",https://www.gutenberg.org/ebooks/39394,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
The Expositor's Bible: The Book of Genesis,"Dods, Marcus and Nicoll, W. Robertson (William Robertson), Sir",https://www.gutenberg.org/ebooks/39395,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
