score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
170,A Treatise on the Preparation and Delivery of Sermons,John A. Broadus,https://archive.org/download/treatiseonprepar0000john_n4s0/treatiseonprepar0000john_n4s0_djvu.txt,Preaching & Teaching,John A. Broadus Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1898,treatiseonprepar0000john_n4s0,John A. Broadus,
165,Jesus of Nazareth,John A. Broadus,https://archive.org/download/jesusofnazareth0000broa/jesusofnazareth0000broa_djvu.txt,Bible study helps,John A. Broadus Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1890,jesusofnazareth0000broa,John A. Broadus,
160,A Harmony of the Gospels,John A. Broadus and A. T. Robertson,https://archive.org/download/harmonyofgosp00broa/harmonyofgosp00broa_djvu.txt,Bible Handbooks,Gospel Harmony and Life of Christ,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1893,harmonyofgosp00broa,John A. Broadus,
155,Lectures on the History of Preaching,John A. Broadus,https://archive.org/download/lecturesonhistor0000broa/lecturesonhistor0000broa_djvu.txt,Preaching & Teaching,John A. Broadus Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1889,lecturesonhistor0000broa,John A. Broadus,
150,The Evidences of Christianity,John Leadley Dagg,https://archive.org/download/evidencesofchris00dagg/evidencesofchris00dagg_djvu.txt,Bible study helps,Baptist Theology and Evidences,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1869,evidencesofchris00dagg,John Leadley Dagg,
145,The Elements of Moral Science,John Leadley Dagg,https://archive.org/download/elementsmoralsc00dagggoog/elementsmoralsc00dagggoog_djvu.txt,Christian Living,Baptist Theology and Evidences,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1860,elementsmoralsc00dagggoog,John Leadley Dagg,
170,Daniel and the Inter-Biblical Period,B. H. Carroll,https://archive.org/download/danielinterbibli00carr/danielinterbibli00carr_djvu.txt,Commentaries,B. H. Carroll Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1915,danielinterbibli00carr,B H Carroll,
170,The Book of Revelation,B. H. Carroll,https://archive.org/download/bookofrevelation00carr/bookofrevelation00carr_djvu.txt,Commentaries,B. H. Carroll Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1913,bookofrevelation00carr,B H Carroll,
165,"Galatians, Romans, Philippians, Philemon",B. H. Carroll,https://archive.org/download/galatiansromansp00carr/galatiansromansp00carr_djvu.txt,Commentaries,B. H. Carroll Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1916,galatiansromansp00carr,B H Carroll,
155,Colossians,B. H. Carroll,https://archive.org/download/colossians00carr/colossians00carr_djvu.txt,Commentaries,B. H. Carroll Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1917,colossians00carr,B H Carroll,
160,Great Epochs of Sacred History,James M. Gray,https://archive.org/download/greatepochsofsac0000gray/greatepochsofsac0000gray_djvu.txt,Bible study helps,James M. Gray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1910,greatepochsofsac0000gray,James M Gray,
160,A Text-Book on Prophecy,James M. Gray,https://archive.org/download/textbookonprophe0000gray/textbookonprophe0000gray_djvu.txt,Bible study helps,James M. Gray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1918,textbookonprophe0000gray,James M Gray,
150,The Antidote to Christian Science,James M. Gray,https://archive.org/download/antidotetochrist0000jame_x3p5/antidotetochrist0000jame_x3p5_djvu.txt,Bible study helps,James M. Gray Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1907,antidotetochrist0000jame_x3p5,James M Gray,
160,"Lectures Introductory to the Study of the Acts, Catholic Epistles, and Revelation",William Kelly,https://archive.org/download/lecturesintrodu03kellgoog/lecturesintrodu03kellgoog_djvu.txt,Commentaries,William Kelly Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1870,lecturesintrodu03kellgoog,William Kelly,
155,Notes on the Book of Job,William Kelly,https://archive.org/download/notesonbookjobw00kellgoog/notesonbookjobw00kellgoog_djvu.txt,Commentaries,William Kelly Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1879,notesonbookjobw00kellgoog,William Kelly,
165,The Prophet Ezekiel: An Analytical Exposition,Arno C. Gaebelein,https://archive.org/download/prophetezekielan00gaeb/prophetezekielan00gaeb_djvu.txt,Commentaries,Gaebelein Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1918,prophetezekielan00gaeb,Arno C. Gaebelein,
160,The Acts of the Apostles,Arno C. Gaebelein,https://archive.org/download/actsofapostles0000arno_q5g8/actsofapostles0000arno_q5g8_djvu.txt,Commentaries,Gaebelein Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1912,actsofapostles0000arno_q5g8,Arno C. Gaebelein,
165,The Annotated Bible,Arno C. Gaebelein,https://archive.org/download/annotatedbible02gaeb/annotatedbible02gaeb_djvu.txt,Commentaries,Gaebelein Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1913,annotatedbible02gaeb,Arno C. Gaebelein,
150,"The Work of Christ: Past, Present, and Future",Arno C. Gaebelein,https://archive.org/download/TheWorkOfChristPastPresentAndFuture/TheWorkOfChristPastPresentAndFuture_djvu.txt,Bible study helps,Gaebelein Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",,TheWorkOfChristPastPresentAndFuture,Arno C. Gaebelein,
160,Notes on the Book of Genesis,C. H. Mackintosh,https://archive.org/download/notesonbookofgen00mackrich/notesonbookofgen00mackrich_djvu.txt,Commentaries,C. H. Mackintosh Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1880,notesonbookofgen00mackrich,C H Mackintosh,
160,Notes on the Book of Exodus,C. H. Mackintosh,https://archive.org/download/notesonbookofexo00mack/notesonbookofexo00mack_djvu.txt,Commentaries,C. H. Mackintosh Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain resource for Bible study, teaching preparation, sermon preparation, and historical reference. OCR text should be spot-checked before quotation.",1858,notesonbookofexo00mack,C H Mackintosh,
