score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year
200,"The creation, fall, and flood : an exposition of Genesis I-XI","Owen, Joseph, 1814-1870",https://archive.org/download/creationfallfloo00owen/creationfallfloo00owen_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1855
199,Commentary on Psalms,"Alexander, Joseph Addison, 1809-1860",https://archive.org/download/commentaryonpsal00alex/commentaryonpsal00alex_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1864
198,"The book of Genesis, and part of the book of Exodus : a revised version with marginal references and an explanatory commentary","Alford, Henry, 1810-1871",https://archive.org/download/bookofgenesispar00alfo/bookofgenesispar00alfo_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1872
197,A critical and exegetical commentary on the book of Daniel,"Montgomery, James A. (James Alan), 1866-1949",https://archive.org/download/criticalexegetic22montuoft/criticalexegetic22montuoft_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1927
196,A critical and exegetical commentary on Amos and Hosea,"Harper, William Rainey, 1856-1906",https://archive.org/download/criticalamoshose00harpuoft/criticalamoshose00harpuoft_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1905
195,Biblical commentary on the Book of Job;,"Delitzsch, Franz, 1813-1890",https://archive.org/download/biblicalcommejob01deliuoft/biblicalcommejob01deliuoft_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1866
194,A critical and exegetical commentary on the Gospel according to St. Luke,"Plummer, Alfred, 1841-1926",https://archive.org/download/criticalexegetic28plumuoft/criticalexegetic28plumuoft_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1902
193,Genesis : a devotional commentary,"Thomas, W. H. Griffith (William Henry Griffith), 1861-1924",https://archive.org/download/genesisadevotion00thomuoft/genesisadevotion00thomuoft_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1908
192,A critical and exegetical commentary on the first epistle of St. Paul to the Corinthians,"Robertson, Archibald, 1853-1931; Plummer, Alfred, 1841-1926",https://archive.org/download/criticalexegetic33robeuoft/criticalexegetic33robeuoft_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1911
191,A critical and exegetical commentary on the Epistle of St. James,"Ropes, James Hardy, 1866-1933",https://archive.org/download/criticalexegetic00ropeuoft/criticalexegetic00ropeuoft_djvu.txt,Commentaries,Classic Commentary Library,verified public domain,reviewed,Historical commentary; denominational or critical perspective may differ; OCR spot-check; compare all conclusions with KJV Scripture,"Public-domain commentary for secondary Bible study, teaching preparation, and comparison after reading the KJV text.",1916
