score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra55exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra55exel/biblicalillustra55exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra55exel,Biblical Illustrator,1362
135,Spurgeon's Sermons - Vol. 7 - Metropolitan Tabernacle Pulpit,Charles H. Spurgeon,https://archive.org/download/SpurgeonMetropolitanPt07/SpurgeonMetropolitanPt07_djvu.txt,Commentaries,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1861,SpurgeonMetropolitanPt07,Spurgeon,1440
135,"Life and works of Rev. Charles H. Spurgeon [microform] : being a graphic account of the greatest preacher of modern times : his boyhood and early life, wonderful success in London, preaching to vast audiences at the Crystal Palace, Surrey Music Hall and in the open air, famous Metropolitan Tabernacle, Pastor's College, orphanage, etc., etc. : containing personal anecdotes, vivid descriptions of his appearance ... : to which is added a vast collection of his eloquent sermons, brilliant writings, and witty sayings","Northrop, Henry Davenport, 1836-1909",https://archive.org/download/cihm_29647/cihm_29647_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching, prayer, revival, or teaching resource for sermon preparation and Christian living. OCR text should be spot-checked before quotation.",1890,cihm_29647,Spurgeon,1161
135,"Life and works of Rev. Charles H. Spurgeon being a graphic account of the greatest preacher of modern time [microform] : his boyhood and early life, wonderful successes in London ... containing personal anecdotes, vivid descriptions of his appearance ... to which is added a vast collection of his eloquent sermons, brilliant writings, and witty sayings","Northrop, Henry Davenport, 1836-1909",https://archive.org/download/cihm_11370/cihm_11370_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching, prayer, revival, or teaching resource for sermon preparation and Christian living. OCR text should be spot-checked before quotation.",1890,cihm_11370,Spurgeon,851
135,Sermons preached and revised by te Rev. C. H. Spurgeon,"Spurgeon, C. H. (Charles Haddon), 1834-1892",https://archive.org/download/sermonspreached01spurgoog/sermonspreached01spurgoog_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain preaching, prayer, revival, or teaching resource for sermon preparation and Christian living. OCR text should be spot-checked before quotation.",1859,sermonspreached01spurgoog,Spurgeon,567
120,"Indiana Baptist history, 1798-1908","Stott, William Taylor, 1836-1918",https://archive.org/download/indianabaptisthi00stot/indianabaptisthi00stot_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1908,indianabaptisthi00stot,Baptist History,3387
120,"The missionary gazetteer, comprising a geographical and statistical account of the various stations of the church, London, Moravian, Wesleyan, Baptist, and American, missionary societies etc., with their progress in evangelization and civilization","Williams, Charles, 1796-1866",https://archive.org/download/missionarygazet02willgoog/missionarygazet02willgoog_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1828,missionarygazet02willgoog,Baptist History,2792
120,"The lone star, the history of the Telugu mission of the American Baptist Missionary Union [microform]","Downie, David, 1838-1927",https://archive.org/download/cihm_05915/cihm_05915_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1893,cihm_05915,Baptist History,2217
120,"The missionary gazetteer [microform] : comprising a geographical and statistical account of the various stations of the church, London, Moravian, Wesleyan, Baptist, and American, missionary societies, &c. & c. &c. with their progress in evangelization and civilization","Williams, Charles, 1796-1866",https://archive.org/download/cihm_48036/cihm_48036_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1828,cihm_48036,Baptist History,2165
120,"The story of a 100 years, 1820-1920 : being the history of the Baptist Church in South Africa","Batts, H. J",https://archive.org/download/storyof100years100batt/storyof100years100batt_djvu.txt,Baptist History,Baptist History,verified public domain,reviewed,Use with discernment;OCR spot-check,"Public-domain Baptist/history resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1922,storyof100years100batt,Baptist History,2164
120,The pulpit commentary (cu31924101104994),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104994/cu31924101104994_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104994,Pulpit Commentary,2094
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet07newy),Various,https://archive.org/download/preacherscomplet07newy/preacherscomplet07newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet07newy,Preacher Homiletical,1999
120,The pulpit commentary (cu31924098499514),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924098499514/cu31924098499514_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924098499514,Pulpit Commentary,1930
