score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
150,"The Bible Atlas of Maps and Plans","Samuel Clark",https://archive.org/download/bibleatlasofmaps00claruoft/bibleatlasofmaps00claruoft_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible atlas with maps, plans, explanatory notes, and geographical index for Bible places, presentations, and teaching background. OCR text should be spot-checked before quotation.",1900,bibleatlasofmaps00claruoft,"Bible Geography and Maps",6891
148,"Manual of Biblical Geography: A Text-Book on Bible History","Jesse Lyman Hurlbut",https://archive.org/download/cu31924029283839/cu31924029283839_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Biblical geography and history manual for teachers, students, maps, and Bible background study. OCR text should be spot-checked before quotation.",1887,cu31924029283839,"Bible Geography and Maps",5244
146,"An Historical Text Book and Atlas of Biblical Geography","Lyman Coleman",https://archive.org/download/anhistoricaltex00colegoog/anhistoricaltex00colegoog_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain atlas and historical Bible geography resource for places, regions, and classroom study. OCR text should be spot-checked before quotation.",1854,anhistoricaltex00colegoog,"Bible Geography and Maps",4531
145,"Bible Maps; or, A Historical and Descriptive Atlas of Scripture Geography","William Hughes",https://archive.org/download/biblemapsorhisto00hugh/biblemapsorhisto00hugh_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Scripture geography atlas for maps, places, and descriptive Bible background. OCR text should be spot-checked before quotation.",1854,biblemapsorhisto00hugh,"Bible Geography and Maps",3578
144,"The New Biblical Atlas and Scripture Gazetteer","Various",https://archive.org/download/newbiblicalatlas00phil/newbiblicalatlas00phil_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible atlas and Scripture gazetteer with notices of the tabernacle and temple for map study and teaching preparation. OCR text should be spot-checked before quotation.",1880,newbiblicalatlas00phil,"Bible Geography and Maps",2997
143,"The Biblical Geography of Central Asia","Ernst Friedrich Karl Rosenmuller",https://archive.org/download/biblicalgeograph11rose/biblicalgeograph11rose_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Historical reference;Use with discernment;OCR spot-check","Public-domain sacred geography resource for Central Asia and early biblical geography questions. Use as historical reference and spot-check OCR before quotation.",1836,biblicalgeograph11rose,"Bible Geography and Maps",3082
145,"Bible Manners and Customs","G. M. Mackie",https://archive.org/download/biblemannerscust00mack/biblemannerscust00mack_djvu.txt,"Bible Handbooks","Bible Manners and Customs","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible manners and customs resource for culture, background notes, sermon illustrations, and Passage Guide support. OCR text should be spot-checked before quotation.",1898,biblemannerscust00mack,"Bible Manners and Customs",2363
144,"Oriental Customs; or, An Illustration of the Sacred Scriptures","Samuel Burder",https://archive.org/download/cu31924029274077/cu31924029274077_djvu.txt,"Bible Handbooks","Bible Manners and Customs","verified public domain",reviewed,"Historical reference;Use with discernment;OCR spot-check","Public-domain Eastern customs reference used to explain difficult Bible passages. Use as historical background and spot-check OCR before quotation.",1840,cu31924029274077,"Bible Manners and Customs",3790
143,"Eastern Customs in Bible Lands","H. B. Tristram",https://archive.org/download/easterncustomsin00tris/easterncustomsin00tris_djvu.txt,"Bible Handbooks","Bible Manners and Customs","verified public domain",reviewed,"Historical reference;Use with discernment;OCR spot-check","Public-domain Bible lands and customs resource for explaining Eastern manners, places, and Scripture background in teaching and preaching. OCR text should be spot-checked before quotation.",1894,easterncustomsin00tris,"Bible Manners and Customs",2141
145,"A Dictionary of the Natural History of the Bible","Thaddeus Mason Harris",https://archive.org/download/dictionaryofnatu00harrrich/dictionaryofnatu00harrrich_djvu.txt,Dictionaries,"Bible Natural History","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain natural history dictionary for Bible animals, plants, stones, and creation-related references. OCR text should be spot-checked before quotation.",1833,dictionaryofnatu00harrrich,"Bible Natural History",6381
143,"The Natural History of the Bible","Thaddeus Mason Harris",https://archive.org/download/naturalhistoryof00harriala/naturalhistoryof00harriala_djvu.txt,"Bible Handbooks","Bible Natural History","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain natural history resource on animals, plants, precious stones, and other created things mentioned in Scripture. OCR text should be spot-checked before quotation.",1824,naturalhistoryof00harriala,"Bible Natural History",6627
142,"The Tabernacle of Israel in the Desert","James Strong",https://archive.org/download/tabernacleofisra00strorich/tabernacleofisra00strorich_djvu.txt,"Bible Handbooks","Tabernacle and Temple","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain tabernacle study with plans, drawings, and explanatory descriptions for teaching, preaching, and presentation preparation. OCR text should be spot-checked before quotation.",1888,tabernacleofisra00strorich,"Tabernacle and Temple",2628
140,"The Temple Dictionary of the Bible","William Ewing",https://archive.org/download/templedictionary00ewin/templedictionary00ewin_djvu.txt,Dictionaries,"Bible Dictionary and Background","verified public domain",reviewed,"Historical reference;Use with discernment;OCR spot-check","Public-domain Bible dictionary and background reference for places, customs, temple study, and Bible terms. Use as historical reference and spot-check OCR before quotation.",1910,templedictionary00ewin,"Bible Dictionary and Background",4545
140,"The Romance of Bible Chronology, Volume 1","Martin Anstey",https://archive.org/download/romanceofbiblech01anst/romanceofbiblech01anst_djvu.txt,"Bible Handbooks","Bible Chronology","verified public domain",reviewed,"Historical chronology;Use with discernment;OCR spot-check","Public-domain Bible chronology resource for timeline study, Old Testament dating, and teaching background. Use with discernment and spot-check OCR before quotation.",1913,romanceofbiblech01anst,"Bible Chronology",6018
138,"Bible Chronology Carefully Unfolded","Smith Bartlett Goodenow",https://archive.org/download/biblechronologyc00goodrich/biblechronologyc00goodrich_djvu.txt,"Bible Handbooks","Bible Chronology","verified public domain",reviewed,"Historical chronology;Use with discernment;OCR spot-check","Public-domain Bible chronology resource for timeline comparison and teaching background. Use with discernment and spot-check OCR before quotation.",1896,biblechronologyc00goodrich,"Bible Chronology",2500
137,"Sacred Chronology","Godfrey Faussett",https://archive.org/download/sacredchronology00fausuoft/sacredchronology00fausuoft_djvu.txt,"Bible Handbooks","Bible Chronology","verified public domain",reviewed,"Historical chronology;Use with discernment;OCR spot-check","Public-domain sacred chronology resource for Bible timeline study and historical comparison. Use with discernment and spot-check OCR before quotation.",1855,sacredchronology00fausuoft,"Bible Chronology",1395
136,"The Old Testament in the Light of the Ancient East, Volume 1","Alfred Jeremias",https://archive.org/download/biblicalarchaeol01jereuoft/biblicalarchaeol01jereuoft_djvu.txt,"Bible Handbooks","Bible Archaeology and Background","verified public domain",reviewed,"Historical-critical reference;Use carefully;OCR spot-check","Public-domain archaeology and ancient Near East background reference. Include for historical comparison only; not a core doctrinal recommendation. OCR text should be spot-checked before quotation.",1911,biblicalarchaeol01jereuoft,"Bible Archaeology and Background",5103
135,"Practical Handbook for the Study of the Bible and Bible Literature","Michael Seisenberger",https://archive.org/download/practicalhandboo00seisuoft/practicalhandboo00seisuoft_djvu.txt,"Bible study helps","Bible Study Background","verified public domain",reviewed,"Historical reference;Use carefully;OCR spot-check","Public-domain Bible literature handbook including geography, antiquities, introductions, and hermeneutics. Use as historical reference and spot-check OCR before quotation.",1911,practicalhandboo00seisuoft,"Bible Study Background",5616
