score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
150,"Synthetic Bible Studies","James M. Gray",https://archive.org/download/syntheticbiblest028560mbp/syntheticbiblest028560mbp_djvu.txt,"Bible study helps","Book-by-Book Bible Study","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain whole-Bible outline study with suggestions for sermons, addresses, and Bible expositions. Strong for pastors, teachers, and Sunday School preparation; OCR text should be spot-checked before quotation.",1923,syntheticbiblest028560mbp,"Bible Survey and Study Helps",4139
148,"Christian Workers' Commentary on the Old and New Testaments","James M. Gray",https://archive.org/download/christianworkers0000unse_n8w7/christianworkers0000unse_n8w7_djvu.txt,Commentaries,"Whole Bible Commentary Helps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain whole-Bible commentary help for preachers, teachers, and Bible students. Useful as a concise conservative study aid; OCR text should be spot-checked before quotation.",1915,christianworkers0000unse_n8w7,"Bible Survey and Study Helps",227
146,"Bible Problems Explained","James M. Gray",https://archive.org/download/bibleproblemsexp0000jame/bibleproblemsexp0000jame_djvu.txt,"Bible study helps","Bible Questions and Difficulties","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain answers to Bible questions and difficult passages from a Moody Bible Institute president. Useful for apologetics, teacher preparation, and Q&A study; OCR text should be spot-checked before quotation.",1913,bibleproblemsexp0000jame,"Bible Questions and Difficulties",200
144,"Salvation from Start to Finish","James M. Gray",https://archive.org/download/MN41635ucmf_6/MN41635ucmf_6_djvu.txt,"Christian Living","Salvation and Doctrine","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible expositions on the believer's new life from faith to glory. Useful for discipleship, assurance, and salvation doctrine; OCR text should be spot-checked before quotation.",1911,MN41635ucmf_6,"Bible Doctrine and Discipleship",788
143,"The Bible and Its Christ","R. A. Torrey",https://archive.org/download/bibleitschrist0000rato/bibleitschrist0000rato_djvu.txt,"Bible study helps","Christ in Scripture","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Christ-centered Bible study resource by R. A. Torrey. Useful for doctrine, apologetics, and Bible-reader connections to Christ; OCR text should be spot-checked before quotation.",1906,bibleitschrist0000rato,"Bible Doctrine and Discipleship",104
142,"Is the Bible the Inerrant Word of God and Was the Body of Jesus Raised from the Dead?","R. A. Torrey",https://archive.org/download/isbibleinerrantw0000rato/isbibleinerrantw0000rato_djvu.txt,"Bible study helps","Bible Defense","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible-defense and resurrection resource. Useful for apologetics, Bible inspiration, and teaching confidence in Scripture; OCR text should be spot-checked before quotation.",1922,isbibleinerrantw0000rato,"Bible Defense and Apologetics",107
141,"Through the Bible Day by Day, Volume 1: Genesis to Joshua","F. B. Meyer",https://archive.org/download/throughbibledayb0000revf/throughbibledayb0000revf_djvu.txt,"Bible study helps","Through the Bible Day by Day","verified public domain",reviewed,"Devotional commentary;Use with discernment;OCR spot-check","Public-domain devotional commentary arranged for daily reading with book introductions, outlines, and review questions. Useful for reading plans, devotionals, and teacher preparation; OCR text should be spot-checked before quotation.",1914,throughbibledayb0000revf,"Devotional Bible Survey",363
140,"Through the Bible Day by Day, Volume 2: Judges to 2 Chronicles","F. B. Meyer",https://archive.org/download/throughbibledayb0000unse/throughbibledayb0000unse_djvu.txt,"Bible study helps","Through the Bible Day by Day","verified public domain",reviewed,"Devotional commentary;Use with discernment;OCR spot-check","Public-domain devotional commentary for Judges through 2 Chronicles with daily readings and teaching helps. Useful for reading plans and Study Workspace related resources; OCR text should be spot-checked before quotation.",1916,throughbibledayb0000unse,"Devotional Bible Survey",119
139,"Through the Bible Day by Day, Volume 4: Ezra to Malachi","F. B. Meyer",https://archive.org/download/throughbibledayb0004unse/throughbibledayb0004unse_djvu.txt,"Bible study helps","Through the Bible Day by Day","verified public domain",reviewed,"Devotional commentary;Use with discernment;OCR spot-check","Public-domain devotional commentary for Ezra through Malachi with daily readings, introductions, outlines, and questions. Useful for Old Testament prophets and teaching preparation; OCR text should be spot-checked before quotation.",1918,throughbibledayb0004unse,"Devotional Bible Survey",110
138,"Through the Bible Day by Day, Volume 6: Acts to Ephesians","F. B. Meyer",https://archive.org/download/throughbibledayb0006unse/throughbibledayb0006unse_djvu.txt,"Bible study helps","Through the Bible Day by Day","verified public domain",reviewed,"Devotional commentary;Use with discernment;OCR spot-check","Public-domain devotional commentary for Acts through Ephesians. Useful for church-history passages, Pauline epistles, daily reading, and lesson preparation; OCR text should be spot-checked before quotation.",1918,throughbibledayb0006unse,"Devotional Bible Survey",113
