score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
150,"The Greater Men and Women of the Bible, Volume 2","James Hastings",https://archive.org/download/greatermenandwom02hastuoft/greatermenandwom02hastuoft_djvu.txt,Biographies,"Bible Characters and People","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible character reference for people profiles, Passage Guide background, sermon illustrations, and teaching preparation. OCR text should be spot-checked before quotation.",1913,greatermenandwom02hastuoft,"Bible Characters and People",1943
150,"The Greater Men and Women of the Bible, Volume 3","James Hastings",https://archive.org/download/greatermenandwom03hastuoft/greatermenandwom03hastuoft_djvu.txt,Biographies,"Bible Characters and People","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible character reference for people profiles, Passage Guide background, sermon illustrations, and teaching preparation. OCR text should be spot-checked before quotation.",1913,greatermenandwom03hastuoft,"Bible Characters and People",1784
150,"The Greater Men and Women of the Bible, Volume 4","James Hastings",https://archive.org/download/greatermenandwom04hastuoft/greatermenandwom04hastuoft_djvu.txt,Biographies,"Bible Characters and People","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible character reference for people profiles, Passage Guide background, sermon illustrations, and teaching preparation. OCR text should be spot-checked before quotation.",1913,greatermenandwom04hastuoft,"Bible Characters and People",2432
150,"The Greater Men and Women of the Bible, Volume 5","James Hastings",https://archive.org/download/greatermenandwom05hastuoft/greatermenandwom05hastuoft_djvu.txt,Biographies,"Bible Characters and People","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible character reference for people profiles, Passage Guide background, sermon illustrations, and teaching preparation. OCR text should be spot-checked before quotation.",1913,greatermenandwom05hastuoft,"Bible Characters and People",1727
140,"Portraits of Women of the Bible: Old Testament Series","Thomas E. Miller",https://archive.org/download/portraitsofwomen00milluoft/portraitsofwomen00milluoft_djvu.txt,Biographies,"Bible Characters and People","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible women character study for teaching, people profiles, and sermon preparation. OCR text should be spot-checked before quotation.",1910,portraitsofwomen00milluoft,"Bible Characters and People",2592
140,"Women of the Bible","Henry Adams Thompson",https://archive.org/download/womenofbible00thomuoft/womenofbible00thomuoft_djvu.txt,Biographies,"Bible Characters and People","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain biographical sketches of Bible women for people profiles, teaching preparation, and sermon illustrations. OCR text should be spot-checked before quotation.",1914,womenofbible00thomuoft,"Bible Characters and People",2588
150,"Handbook of Bible Manners and Customs","James M. Freeman",https://archive.org/download/handbookofbiblem00freeuoft/handbookofbiblem00freeuoft_djvu.txt,"Bible Handbooks","Bible Manners and Customs","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain manners and customs reference for Bible background, cultural notes, Passage Guide support, and sermon preparation. OCR text should be spot-checked before quotation.",1875,handbookofbiblem00freeuoft,"Bible Manners and Customs",35301
150,"The Land and the Book, Volume 1","William McClure Thomson",https://archive.org/download/landbookorbiblic01thomuoft/landbookorbiblic01thomuoft_djvu.txt,"Bible Handbooks","Bible Lands and Customs","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible lands and customs resource for geography, places, cultural background, and teaching illustrations. OCR text should be spot-checked before quotation.",1880,landbookorbiblic01thomuoft,"Bible Lands and Customs",8911
150,"Biography of Gospel Song and Hymn Writers","J. H. Hall",https://archive.org/download/biographyofgospe00hall/biographyofgospe00hall_djvu.txt,"Preaching & Teaching","Hymns and Hymn Writers","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain hymn-writer biography resource for hymn history, sermon illustrations, worship notes, and teaching preparation. OCR text should be spot-checked before quotation.",1914,biographyofgospe00hall,"Hymns and Hymn Writers",21939
150,"Baptist Hymn Writers and Their Hymns","Henry S. Burrage",https://archive.org/download/baptisthymnwrite00burr/baptisthymnwrite00burr_djvu.txt,"Baptist History","Baptist Hymn Writers","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Baptist hymn history resource for Baptist heritage, hymn stories, worship teaching, and sermon illustrations. OCR text should be spot-checked before quotation.",1888,baptisthymnwrite00burr,"Baptist Hymn Writers",17484
145,"Illustrated History of Hymns and Their Authors","Edwin McKean Long",https://archive.org/download/illustratedhist00long/illustratedhist00long_djvu.txt,"Preaching & Teaching","Hymns and Hymn Writers","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain hymn history and hymn-writer reference for sermon illustrations, worship study, and teaching notes. OCR text should be spot-checked before quotation.",1875,illustratedhist00long,"Hymns and Hymn Writers",15757
