score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
160,"The Numerical Bible, Volume 1: The Pentateuch","F. W. Grant",https://archive.org/download/numericalbiblebe01gran/numericalbiblebe01gran_djvu.txt,Commentaries,"F. W. Grant Numerical Bible","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain expository notes on Genesis through Deuteronomy from F. W. Grant's Numerical Bible. Useful for pastors, teachers, dispensational study, and book-by-book Bible exposition; OCR text should be spot-checked before quotation.",1903,numericalbiblebe01gran,"Classic Exposition and Commentary",0
159,"The Numerical Bible, Volume 2: The Covenant History, Joshua to 2 Samuel","F. W. Grant",https://archive.org/download/numericalbiblebe02gran/numericalbiblebe02gran_djvu.txt,Commentaries,"F. W. Grant Numerical Bible","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain expository notes on Joshua through 2 Samuel from F. W. Grant's Numerical Bible. Useful for Old Testament narrative study, Sunday School preparation, and sermon background; OCR text should be spot-checked before quotation.",1901,numericalbiblebe02gran,"Classic Exposition and Commentary",0
158,"The Numerical Bible, Volume 3: The Psalms","F. W. Grant",https://archive.org/download/numericalbiblebe03gran/numericalbiblebe03gran_djvu.txt,Commentaries,"F. W. Grant Numerical Bible","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain expository notes on the Psalms from F. W. Grant's Numerical Bible. Useful for devotional study, preaching preparation, and comparison with Treasury of David; OCR text should be spot-checked before quotation.",1901,numericalbiblebe03gran,"Classic Exposition and Commentary",0
157,"The Numerical Bible, Volume 4: Ezekiel","F. W. Grant and J. Bloore",https://archive.org/download/numericalbiblebe04gran/numericalbiblebe04gran_djvu.txt,Commentaries,"F. W. Grant Numerical Bible","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain expository notes on Ezekiel from F. W. Grant's Numerical Bible, with later notes by J. Bloore. Useful for prophecy study, Bible coverage depth, and sermon preparation; OCR text should be spot-checked before quotation.",1901,numericalbiblebe04gran,"Classic Exposition and Commentary",0
156,"The Numerical Bible, Volume 5: The Gospels","F. W. Grant",https://archive.org/download/numericalbiblebe05gran/numericalbiblebe05gran_djvu.txt,Commentaries,"F. W. Grant Numerical Bible","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain expository notes on the Gospels from F. W. Grant's Numerical Bible. Useful for Gospel comparison, teaching preparation, and Christ-centered study; OCR text should be spot-checked before quotation.",1901,numericalbiblebe05gran,"Classic Exposition and Commentary",0
155,"The Numerical Bible, Volume 6: Acts to 2 Corinthians","F. W. Grant",https://archive.org/download/numericalbiblebe06gran/numericalbiblebe06gran_djvu.txt,Commentaries,"F. W. Grant Numerical Bible","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain expository notes on Acts through 2 Corinthians from F. W. Grant's Numerical Bible. Useful for church, missions, Pauline epistles, and sermon preparation; OCR text should be spot-checked before quotation.",1901,numericalbiblebe06gran,"Classic Exposition and Commentary",0
154,"The Numerical Bible, Volume 7: Hebrews to Revelation","F. W. Grant",https://archive.org/download/numericalbiblebe07gran/numericalbiblebe07gran_djvu.txt,Commentaries,"F. W. Grant Numerical Bible","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain expository notes on Hebrews through Revelation from F. W. Grant's Numerical Bible. Useful for epistle study, prophecy study, and comparison with other dispensational commentators; OCR text should be spot-checked before quotation.",1903,numericalbiblebe07gran,"Classic Exposition and Commentary",0
146,"Lectures on the Second Coming and Kingdom of the Lord and Saviour Jesus Christ","William Kelly",https://archive.org/download/lecturesonsecon01kellgoog/lecturesonsecon01kellgoog_djvu.txt,"Bible study helps","Prophecy and Second Coming","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain lectures on the second coming and kingdom by William Kelly. Useful for prophecy study, doctrinal comparison, and sermon preparation; OCR text should be spot-checked before quotation.",1865,lecturesonsecon01kellgoog,"Classic Exposition and Commentary",0
145,"Abram: Lectures on Genesis 12-25","William Kelly",https://archive.org/download/abramlectureson00kellgoog/abramlectureson00kellgoog_djvu.txt,Commentaries,"Genesis Exposition","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain lectures on Abraham's life in Genesis 12-25 by William Kelly. Useful for Genesis study, faith themes, and Sunday School preparation; OCR text should be spot-checked before quotation.",1875,abramlectureson00kellgoog,"Classic Exposition and Commentary",0
144,"Lectures on the Day of Atonement: Leviticus XVI","William Kelly",https://archive.org/download/lecturesondayat00kellgoog/lecturesondayat00kellgoog_djvu.txt,Commentaries,"Leviticus and Typology","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain exposition of Leviticus 16 by William Kelly. Useful for tabernacle, atonement, typology, and Christ-centered Old Testament teaching; OCR text should be spot-checked before quotation.",1889,lecturesondayat00kellgoog,"Classic Exposition and Commentary",0
143,"Eleven Lectures on the Book of Job","William Kelly",https://archive.org/download/bwb_Y0-BSQ-501/bwb_Y0-BSQ-501_djvu.txt,Commentaries,"Job Exposition","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain lectures on the book of Job by William Kelly. Useful for wisdom literature, suffering, sovereignty, and pastoral teaching; OCR text should be spot-checked before quotation.",1903,bwb_Y0-BSQ-501,"Classic Exposition and Commentary",0
