score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year
90,"The Life and Labors of Charles H. Spurgeon","George Carter Needham",https://archive.org/download/thelifeandlabors00needuoft/thelifeandlabors00needuoft_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography and ministry-history resource for preacher biography, sermon illustrations, and author study. OCR text should be spot-checked before quotation.",1882
90,"From the Usher's Desk to the Tabernacle Pulpit","Robert Shindler",https://archive.org/download/fromushersdeskto00shin/fromushersdeskto00shin_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography and ministry-history resource for preacher biography, sermon illustrations, and author study. OCR text should be spot-checked before quotation.",1892
90,"Charles H. Spurgeon, Our Ally","Justin D. Fulton",https://archive.org/download/cihm_13153/cihm_13153_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon-related resource for preaching history, Baptist history, and sermon background. OCR text should be spot-checked before quotation.",1886
90,"Women Who Have Worked and Won","Jennie Chappell",https://archive.org/download/womenwhohavework00chap/womenwhohavework00chap_djvu.txt,Biographies,"Christian Biography Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain biography collection including Mrs. Spurgeon, F. R. Havergal, and Ramabai for missions, devotion, and illustration research. OCR text should be spot-checked before quotation.",1898
90,"The Autobiography of Charles H. Spurgeon","C. H. Spurgeon; Susannah Spurgeon; W. J. Harrald",https://archive.org/download/autobiographyspu00unknuoft/autobiographyspu00unknuoft_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon autobiography for author study, preaching history, and sermon illustration research. OCR text should be spot-checked before quotation.",1897
90,"Life of Charles Haddon Spurgeon: The World's Great Preacher","Russell H. Conwell",https://archive.org/download/lifecharleshadd00conwgoog/lifecharleshadd00conwgoog_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography for preacher biography, ministry history, sermon illustrations, and author study. OCR text should be spot-checked before quotation.",1892
90,"C. H. Spurgeon Autobiography, Volume 2","C. H. Spurgeon; Susannah Spurgeon; W. J. Harrald",https://archive.org/download/chspurgeonautobi02spur/chspurgeonautobi02spur_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon autobiography volume for author study, preaching history, and sermon illustration research. OCR text should be spot-checked before quotation.",1900
90,"Charles Haddon Spurgeon: Preacher, Author, and Philanthropist","G. Holden Pike",https://archive.org/download/charleshaddonspu1886pike/charleshaddonspu1886pike_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography for author study, preaching history, and sermon illustration research. OCR text should be spot-checked before quotation.",1886
90,"Sketch of the Life and Ministry of the Rev. C. H. Spurgeon","George J. Stevenson",https://archive.org/download/sketchoflifemini00stev/sketchoflifemini00stev_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography and ministry sketch for preaching history, Baptist history, and sermon background. OCR text should be spot-checked before quotation.",1857
90,"The Way of Life","C. H. Spurgeon; John McNeill; J. Wilbur Chapman; D. L. Moody; T. De Witt Talmage",https://archive.org/download/wayoflifemarkedo00spur/wayoflifemarkedo00spur_djvu.txt,Evangelism,"Evangelism and Gospel Classics","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain evangelistic and devotional preaching resource with material from Spurgeon, Moody, Chapman, and others. OCR text should be spot-checked before quotation.",1895
80,"A Synopsis of Criticisms upon the Old Testament","Richard A. F. Barrett",https://archive.org/download/synopsisofcritic0101barr/synopsisofcritic0101barr_djvu.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain textual and translation-history resource comparing disputed Old Testament passages and Authorized Version renderings. OCR text should be spot-checked before quotation.",1847
80,"Original Notes on the Book of Proverbs, Volume 1","Solomon Caesar Malan",https://archive.org/download/originalnotesonb01malauoft/originalnotesonb01malauoft_djvu.txt,Commentaries,"Proverbs Study Helps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Proverbs study notes for wisdom literature, teaching preparation, and commentary comparison. OCR text should be spot-checked before quotation.",1889
80,"Original Notes on the Book of Proverbs","Solomon Caesar Malan",https://archive.org/download/cu31924096046333/cu31924096046333_djvu.txt,Commentaries,"Proverbs Study Helps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Proverbs study notes for wisdom literature, teaching preparation, and commentary comparison. OCR text should be spot-checked before quotation.",1889
80,"The English Bible, Volume 2","John Eadie",https://archive.org/download/theenglishbiblea02eadiuoft/theenglishbiblea02eadiuoft_djvu.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain English Bible history resource for Bible translation history, KJV study, and teaching background. OCR text should be spot-checked before quotation.",1876
