score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year
135,"Spurgeon's Sermons - Vol. 7 - Metropolitan Tabernacle Pulpit","Charles H. Spurgeon",https://archive.org/download/SpurgeonMetropolitanPt07/Spurgeon-Metropolitan-pt07_djvu.txt,Commentaries,"Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain sermon and homiletical resource for preaching preparation, illustration research, devotional reading, and sermon comparison. OCR text should be spot-checked before quotation.",1861
120,"The Pulpit Commentary (1897) (in.ernet.dli.2015.1256)","H. D. M. Spence",https://archive.org/download/in.ernet.dli.2015.1256/2015.1256.The-Pulpit-Commentary-1897_djvu.txt,Commentaries,"Pulpit Commentary","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain commentary and homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.",1897
120,"Meditations from the Pen of Mrs. Maria W. Stewart","Maria W. Stewart",https://archive.org/download/meditationsfromp00stew/meditationsfromp00stew_djvu.txt,"Baptist History","Baptist History","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Baptist-history and devotional-historical resource for research, teaching context, and historical study. OCR text should be spot-checked before quotation.",1879
120,"The History of Negro Baptists in Mississippi","Patrick H. Thompson",https://archive.org/download/12642935.22778.emory.edu/12642935.22778.emory.edu_djvu.txt,"Baptist History","Baptist History","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Baptist-history resource for research, teaching context, missions history, and historical study. OCR text should be spot-checked before quotation.",1898
120,"History of Coffee Creek Baptist Association","Joshua C. Tibbets",https://archive.org/download/historyofcoffeec00tibb/historyofcoffeec00tibb_djvu.txt,"Baptist History","Baptist History","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Baptist-history resource for local church history, biographical sketches, and teaching context. OCR text should be spot-checked before quotation.",1883
90,"The Life and Labors of Charles H. Spurgeon","George Carter Needham and A. J. Gordon",https://archive.org/download/lifelaborsofchar00need/lifelaborsofchar00need_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography and ministry-history resource for preacher biography, illustrations, and sermon context. OCR text should be spot-checked before quotation.",1887
90,"Charles Haddon Spurgeon","James J. Ellis",https://archive.org/download/charleshaddonspu00elli/charleshaddonspu00elli_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography for preacher biography, illustrations, and sermon context. OCR text should be spot-checked before quotation.",1890
90,"Charles Haddon Spurgeon, Preacher, Author, Philanthropist","G. Holden Pike",https://archive.org/download/charleshaddonspu00pike/charleshaddonspu00pike_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography and anecdotal resource for preacher biography, illustrations, and sermon context. OCR text should be spot-checked before quotation.",1892
90,"Spurgeon's Gold","C. H. Spurgeon and Edmond Hez Swem",https://archive.org/download/spurgeonsgoldnew00spur/spurgeonsgoldnew00spur_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain selections from Spurgeon for preaching, devotion, and quote research. OCR text should be spot-checked before quotation.",1888
90,"The Letters of Charles Haddon Spurgeon","C. H. Spurgeon",https://archive.org/download/lettersofcharles00spur/lettersofcharles00spur_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon letters for biography, pastoral tone, quote research, and ministry history. OCR text should be spot-checked before quotation.",1898
0,"The Christian Hymn Book: A Compilation of Psalms, Hymns, and Spiritual Songs","Alexander Campbell; Walter Scott; Barton W. Stone; J. T. Johnson",https://www.gutenberg.org/ebooks/46041,"Christian Living","Hymns and Worship","verified public domain",reviewed,"Historical hymnal; use with doctrinal discernment;Project Gutenberg terms","Use as a public-domain hymn text and worship-history reference. Not a Baptist doctrinal source; review individual hymns before recommendation.",1865
0,"Handbook to the Mennonite Hymnary","Lester Hostetler",https://www.gutenberg.org/ebooks/54966,"Preaching & Teaching","Hymns and Worship","verified public domain",reviewed,"Historical hymn background; not Baptist-specific;Project Gutenberg terms","Use for hymn background, author notes, worship history, and sermon illustration research. Not a Baptist doctrinal source; review individual notes before recommendation.",1949
90,"Charles Haddon Spurgeon","A. Cunningham Burley",https://archive.org/download/charleshaddonspu00burl/charleshaddonspu00burl_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon biography for preacher biography, illustrations, and sermon context. OCR text should be spot-checked before quotation.",1892
90,"The Essex Lad Who Became England's Greatest Preacher","Joseph Manton Smith",https://archive.org/download/essexladwhobecam00smit/essexladwhobecam00smit_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain young-reader Spurgeon biography for illustrations, biography, and devotional teaching. OCR text should be spot-checked before quotation.",1892
90,"Poems and Prose with Anecdotes of C. H. Spurgeon","Joseph A. Gwyer",https://archive.org/download/poemsprosewithsh00gwye/poemsprosewithsh00gwye_djvu.txt,"Preaching & Teaching","Spurgeon Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain poetry, prose, and Spurgeon anecdote resource for sermon illustrations and historical reading. OCR text should be spot-checked before quotation.",1892
90,"The Gospel of Matthew: An Exposition, Volume I","A. C. Gaebelein",https://archive.org/download/bwb_P9-BVJ-779_1/bwb_P9-BVJ-779_1_djvu.txt,Commentaries,"Gaebelein Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Matthew commentary for Gospel study, teaching preparation, and commentary comparison. OCR text should be spot-checked before quotation.",1910
90,"The Jewish Question","A. C. Gaebelein",https://archive.org/download/jewishquestion0000acga_r5c8/jewishquestion0000acga_r5c8_djvu.txt,"Preaching & Teaching","Gaebelein Collection","verified public domain",reviewed,"Historical; use with discernment;OCR spot-check","Public-domain historical and prophetic study resource. Use with context and compare with Scripture. OCR text should be spot-checked before quotation.",1912
90,"The Book of Exodus and Leviticus","B. H. Carroll",https://archive.org/download/bookofexoduslevi0000bhca/bookofexoduslevi0000bhca_djvu.txt,Commentaries,"B. H. Carroll Collection","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Baptist commentary resource for Pentateuch study, teaching preparation, and sermon background. OCR text should be spot-checked before quotation.",1913
80,"The Revision Revised","John William Burgon",https://archive.org/download/a549037300burguoft/a549037300burguoft.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Historical textual criticism; use with discernment;OCR spot-check","Public-domain English Bible and textual-history resource for KJV/textual issue research. OCR text should be spot-checked before quotation.",1883
80,"The Causes of the Corruption of the Traditional Text of the Holy Gospels","John William Burgon and Edward Miller",https://archive.org/download/a549022500burguoft/a549022500burguoft.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Historical textual criticism; use with discernment;OCR spot-check","Public-domain textual-history resource for KJV/textual issue research. OCR text should be spot-checked before quotation.",1896
80,"William Tyndale: A Biography","R. Demaus",https://archive.org/download/williamtyndalebi00dema/williamtyndalebi00dema_djvu.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain English Bible history and biography resource for Bible translation history, teaching, and KJV background. OCR text should be spot-checked before quotation.",1886
80,"The Authorized Edition of the English Bible (1611)","F. H. A. Scrivener",https://archive.org/download/authorizedbible00scriuoft/authorizedbible00scriuoft_djvu.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Historical textual study; use with discernment;OCR spot-check","Public-domain KJV history resource for Authorized Version printing history, English Bible study, and textual background. OCR text should be spot-checked before quotation.",1884
80,"The English Bible, Volume 1","John Eadie",https://archive.org/download/englishbibleexte01eadi/englishbibleexte01eadi_djvu.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Historical; use with discernment;OCR spot-check","Public-domain English Bible history resource for translation history and KJV background. OCR text should be spot-checked before quotation.",1876
80,"The Bible Word-Book","J. Eastwood and W. Aldis Wright",https://archive.org/download/biblewordbookag00wriggoog/biblewordbookag00wriggoog_djvu.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Historical glossary; OCR spot-check","Public-domain glossary of old English Bible words for KJV reading help, Bible word study, and teaching context. OCR text should be spot-checked before quotation.",1884
80,"The History of the English Bible","Blackford Condit",https://archive.org/download/cu31924029271919/cu31924029271919_djvu.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Historical; use with discernment;OCR spot-check","Public-domain English Bible history resource for Bible translation history, Protestant background, and KJV study. OCR text should be spot-checked before quotation.",1882
80,"Hebraisms in the Authorized Version of the Bible","William Rosenau",https://archive.org/download/hebraismsinautho00roserich/hebraismsinautho00roserich_djvu.txt,"KJV / Textual Issues","KJV / English Bible History","verified public domain",reviewed,"Historical language study; OCR spot-check","Public-domain KJV language resource for understanding Hebrew idioms in the Authorized Version. OCR text should be spot-checked before quotation.",1902
