score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
150,"Bible Object-Lessons: Addresses to the Young","James Wells",https://archive.org/download/bibleobjectless00wellgoog/bibleobjectless00wellgoog_djvu.txt,"Preaching & Teaching","Object Lessons and Illustrations","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible object-lesson addresses for children, Sunday School, family worship, and simple teaching illustrations. OCR text should be spot-checked before quotation.",1891,bibleobjectless00wellgoog,"Sunday School Helps",736
148,"Anecdotes and Illustrations of D. L. Moody","D. L. Moody",https://archive.org/download/anecdotesillustr00mooduoft/anecdotesillustr00mooduoft_djvu.txt,"Preaching & Teaching","Sermon Illustrations and Stories","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Moody anecdote and illustration collection for evangelistic sermons, Sunday School lessons, and devotional applications. OCR text should be spot-checked before quotation.",1878,anecdotesillustr00mooduoft,"Preaching and Sermon Helps",1359
146,"Moody's Stories: Anecdotes, Incidents, and Illustrations","D. L. Moody",https://archive.org/download/moodysstoriesbei00mood/moodysstoriesbei00mood_djvu.txt,"Preaching & Teaching","Sermon Illustrations and Stories","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Moody story and illustration collection for preaching, evangelism, and teaching applications. OCR text should be spot-checked before quotation.",1899,moodysstoriesbei00mood,"Preaching and Sermon Helps",1037
146,"Feathers for Arrows: Illustrations from My Note Book","C. H. Spurgeon",https://archive.org/download/feathersforarro01spurgoog/feathersforarro01spurgoog_djvu.txt,"Preaching & Teaching","Sermon Illustrations and Stories","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon illustration collection for preachers and teachers. OCR text should be spot-checked before quotation.",1870,feathersforarro01spurgoog,"Preaching and Sermon Helps",1317
145,"Sermons in Candles","C. H. Spurgeon",https://archive.org/download/sermonsincandles00spur/sermonsincandles00spur_djvu.txt,"Preaching & Teaching","Object Lessons and Illustrations","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Spurgeon object-lesson lectures using common candles as sermon illustrations. OCR text should be spot-checked before quotation.",1891,sermonsincandles00spur,"Preaching and Sermon Helps",879
145,"Object Sermons in Outline","C. H. Tyndall",https://archive.org/download/objectsermonsino00tynd/objectsermonsino00tynd_djvu.txt,"Preaching & Teaching","Object Lessons and Illustrations","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain object-sermon outline resource with illustrations for children, Sunday School, and practical Bible teaching. OCR text should be spot-checked before quotation.",1891,objectsermonsino00tynd,"Sunday School Helps",1745
144,"Cyclopedia of Illustrations for Public Speakers","Robert Scott",https://archive.org/download/cyclopediaofillu00scotrich/cyclopediaofillu00scotrich_djvu.txt,"Preaching & Teaching","Sermon Illustrations and Stories","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain illustration reference for speakers, teachers, and preachers; useful for story and application research. OCR text should be spot-checked before quotation.",1911,cyclopediaofillu00scotrich,"Preaching and Sermon Helps",2145
143,"A Cyclopedia of Illustrations of Moral and Religious Truths","John Bate",https://archive.org/download/cyclopediaofill00bate/cyclopediaofill00bate_djvu.txt,"Preaching & Teaching","Sermon Illustrations and Stories","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain moral and religious illustration reference for sermon applications, teaching examples, and devotional study. OCR text should be spot-checked before quotation.",1871,cyclopediaofill00bate,"Preaching and Sermon Helps",1625
142,"A Modern Cyclopedia of Illustrations for All Occasions","G. B. F. Hallock",https://archive.org/download/moderncyclopedia00hall/moderncyclopedia00hall_djvu.txt,"Preaching & Teaching","Sermon Illustrations and Stories","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain illustration reference arranged for preaching, public speaking, and lesson application. OCR text should be spot-checked before quotation.",1922,moderncyclopedia00hall,"Preaching and Sermon Helps",708
145,"Five Minute Object Sermons to Children","Sylvanus Stall",https://archive.org/download/fiveminuteobje00stal/fiveminuteobje00stal_djvu.txt,"Preaching & Teaching","Object Lessons and Illustrations","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain five-minute object-sermon resource for children, junior church, and Sunday School teaching. OCR text should be spot-checked before quotation.",1894,fiveminuteobje00stal,"Sunday School Helps",1764
142,"Notes from My Bible: From Genesis to Revelation","D. L. Moody",https://archive.org/download/notesfromthebibl00mooduoft/notesfromthebibl00mooduoft_djvu.txt,"Bible study helps","Bible Study Notes","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Moody Bible notes for devotional study, teaching prompts, and sermon preparation. OCR text should be spot-checked before quotation.",1895,notesfromthebibl00mooduoft,"Bible Study Helps",15568
140,"Sunday-School Teacher-Training","H. M. Hamill",https://archive.org/download/sundayschoolteac00hami/sundayschoolteac00hami_djvu.txt,"Preaching & Teaching","Sunday School Helps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Sunday School teacher-training resource for class preparation, teacher development, and church education. OCR text should be spot-checked before quotation.",1904,sundayschoolteac00hami,"Sunday School Helps",2580
139,"The Class and the Desk: A Manual for the Sunday School Teacher","James Comper Gray",https://archive.org/download/classdeskmanualf00gray/classdeskmanualf00gray_djvu.txt,"Preaching & Teaching","Sunday School Helps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Sunday School teacher manual for lesson method, classroom order, and teacher preparation. OCR text should be spot-checked before quotation.",1867,classdeskmanualf00gray,"Sunday School Helps",1784
139,"Teaching and Teachers; or, The Sunday-School Teacher's Teaching Work","H. Clay Trumbull",https://archive.org/download/teachingteachers00trumuoft/teachingteachers00trumuoft_djvu.txt,"Preaching & Teaching","Sunday School Helps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain teacher-training resource for Sunday School instruction, lesson care, and practical Christian education. OCR text should be spot-checked before quotation.",1901,teachingteachers00trumuoft,"Sunday School Helps",1698
