score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year
205,History of the Missions of the American Board to the Oriental Churches Volume I,Rufus Anderson,https://www.gutenberg.org/ebooks/18930,Missions,Missions History,verified public domain,reviewed,Historical Congregational missions source; Project Gutenberg terms; use with discernment,Public-domain missions history for research timelines biographies and teaching preparation.,1872
205,History of the Missions of the American Board to the Oriental Churches Volume II,Rufus Anderson,https://www.gutenberg.org/ebooks/19939,Missions,Missions History,verified public domain,reviewed,Historical Congregational missions source; Project Gutenberg terms; use with discernment,Public-domain missions history for research timelines biographies and teaching preparation.,1872
210,A Story of One Short Life 1783 to 1818,Elisabeth G. Stryker,https://www.gutenberg.org/ebooks/30026,Missions,Missionary Biographies,verified public domain,reviewed,Historical missionary biography; Project Gutenberg terms; use with discernment,Biography of Samuel John Mills for missionary history illustrations and teaching preparation.,1897
215,Life on the Congo,William Holman Bentley,https://www.gutenberg.org/ebooks/59348,Missions,Missionary Biographies,verified public domain,reviewed,Historical missionary language and context; Project Gutenberg terms; use with discernment,Public-domain account of Baptist mission work and life in Central Africa for missions history and teaching.,1887
210,The Story of Chalmers of New Guinea,Janet Harvey Kelman,https://www.gutenberg.org/ebooks/67613,Missions,Missionary Biographies,verified public domain,reviewed,Historical children's biography; Project Gutenberg terms; use with discernment,Public-domain missionary biography for family reading missions lessons and illustration research.,1906
215,Thirty Years in Madagascar,Thomas T. Matthews,https://www.gutenberg.org/ebooks/70113,Missions,Missionary Biographies,verified public domain,reviewed,Historical missionary language and context; Project Gutenberg terms; use with discernment,Public-domain missionary account for missions history biography timelines and teaching preparation.,1904
210,The Story of Dr. Duff,A. L. O. E.,https://www.gutenberg.org/ebooks/76355,Missions,Missionary Biographies,verified public domain,reviewed,Historical Presbyterian missionary biography; Project Gutenberg terms; use with discernment,Public-domain biography of Alexander Duff for missions history family reading and teaching illustrations.,1899
205,Adventures in New Guinea,James Chalmers,https://www.gutenberg.org/ebooks/17694,Missions,Missionary Accounts,verified public domain,reviewed,Historical missionary language and context; Project Gutenberg terms; use with discernment,First-person public-domain missionary account for missions history geography and teaching illustrations.,1886
205,Everlasting Pearl: One of China's Women,Anna Magdalena Johannsen,https://www.gutenberg.org/ebooks/19365,Missions,Missionary Biographies,verified public domain,reviewed,Historical missionary context; Project Gutenberg terms; use with discernment,Public-domain Christian biography from China for missions study and carefully contextualized teaching illustrations.,1913
205,Papuan Pictures,H. M. Dauncey,https://www.gutenberg.org/ebooks/57739,Missions,Missionary Accounts,verified public domain,reviewed,Historical missionary language and context; Project Gutenberg terms; use with discernment,Public-domain Papua New Guinea missions account for geography culture history and lesson preparation.,1913
