score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
150,"Hand-book of Bible Geography","George Henry Whitney",https://archive.org/download/cu31924029282120/cu31924029282120_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible geography reference for places, nations, tribes, teaching context, and sermon preparation. OCR text should be spot-checked before quotation.",1875,cu31924029282120,"Bible Geography and Maps",2959
150,"Hand-book of Bible Geography: Names, Pronunciation, and Meaning","George Henry Whitney",https://archive.org/download/handbookofbibleg01whit/handbookofbibleg01whit_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible geography reference with place-name helps for Bible Reader lookup, Passage Guide background, and teaching preparation. OCR text should be spot-checked before quotation.",1871,handbookofbibleg01whit,"Bible Geography and Maps",2027
150,"The Explanatory Bible Atlas and Scripture Gazetteer","William Jenks",https://archive.org/download/explanatorybible1849jenk/explanatorybible1849jenk_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible atlas and gazetteer resource for places, maps, natural history, weights, measures, and teaching background. OCR text should be spot-checked before quotation.",1849,explanatorybible1849jenk,"Bible Geography and Maps",2460
145,"Bible Geography: A Series of Lessons on the Old and New Testament Worlds","Ely Vaughan Zollars",https://archive.org/download/biblegeographya00zollgoog/biblegeographya00zollgoog_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible geography lesson resource for teachers, Sunday School classes, and Bible background study. OCR text should be spot-checked before quotation.",1895,biblegeographya00zollgoog,"Bible Geography and Maps",1351
140,"Outlines of Bible Geography, Physical and Political","William Garden Blaikie",https://archive.org/download/outlinesbiblege00blaigoog/outlinesbiblege00blaigoog_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible geography overview for background study, Bible places, and teaching preparation. OCR text should be spot-checked before quotation.",1861,outlinesbiblege00blaigoog,"Bible Geography and Maps",1179
140,"Bible Atlas (Non-Sectarian): Physical-Historical","Townsend MacCoun",https://archive.org/download/bibleatlasnonsec00macc/bibleatlasnonsec00macc_djvu.txt,"Bible Handbooks","Bible Geography and Maps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain physical-historical Bible atlas resource for map study, geography, and class preparation. OCR text should be spot-checked before quotation.",1912,bibleatlasnonsec00macc,"Bible Geography and Maps",973
145,"Knowing the Scriptures: Rules and Methods of Bible Study","Arthur T. Pierson",https://archive.org/download/knowingscripture00pier/knowingscripture00pier_djvu.txt,"Bible study helps","Bible Study Methods","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible study methods resource for personal study, Sunday School preparation, and teacher training. OCR text should be spot-checked before quotation.",1910,knowingscripture00pier,"Bible Study Methods",
140,"Helps to Bible Study, with Practical Notes on the Books of Scripture","A. Sims",https://archive.org/download/helpstobiblestud00simsuoft/helpstobiblestud00simsuoft_djvu.txt,"Bible study helps","Bible Study Methods","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible study help with practical notes for book overview, classroom preparation, and sermon planning. OCR text should be spot-checked before quotation.",1890,helpstobiblestud00simsuoft,"Bible Study Methods",
140,"A Guide to Bible Study","J. W. McGarvey and H. L. Willett",https://archive.org/download/aguidetobiblestu00mcgauoft/aguidetobiblestu00mcgauoft_djvu.txt,"Bible study helps","Bible Study Methods","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible study guide for structured study habits and class preparation. OCR text should be spot-checked before quotation.",1897,aguidetobiblestu00mcgauoft,"Bible Study Methods",
135,"The Bible Interpreter; or, Improved Helps to Bible Study","Roswell D. Hitchcock and contributors",https://archive.org/download/bibleinterpreter00hitc/bibleinterpreter00hitc_djvu.txt,"Bible study helps","Bible Study Methods","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible study reference with analytical and topical helps for serious Bible students and teachers. OCR text should be spot-checked before quotation.",1895,bibleinterpreter00hitc,"Bible Study Methods",
135,"Bible Wonders and Aids to Bible Study","Stephen Van Rensselaer Ford",https://archive.org/download/biblewondersaids00ford/biblewondersaids00ford_djvu.txt,"Bible study helps","Bible Study Methods","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Bible study aid for teaching, devotional study, and background enrichment. OCR text should be spot-checked before quotation.",1900,biblewondersaids00ford,"Bible Study Methods",
145,"The Sunday-school Teacher's Manual","William Mansfield Groton",https://archive.org/download/sundayschoolteac00grot/sundayschoolteac00grot_djvu.txt,"Preaching & Teaching","Sunday School Helps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Sunday School teacher manual for lesson preparation, classroom method, and teacher training. OCR text should be spot-checked before quotation.",1909,sundayschoolteac00grot,"Sunday School Helps",
135,"The First Fifty Years of the Sunday School","William Henry Watson",https://archive.org/download/thefirstfiftyyea00watsuoft/thefirstfiftyyea00watsuoft_djvu.txt,"Preaching & Teaching","Sunday School Helps","verified public domain",reviewed,"Use with discernment;OCR spot-check","Public-domain Sunday School history resource for ministry context, teacher training, and Christian education background. OCR text should be spot-checked before quotation.",1862,thefirstfiftyyea00watsuoft,"Sunday School Helps",
