title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"The Story of the Hymns and Tunes","Hezekiah Butterworth; Theron Brown",https://www.gutenberg.org/ebooks/18444,Preaching & Teaching,Hymns and Worship,verified public domain,reviewed,Historical hymn background,"Use for hymn history, worship background, sermon illustrations, and Charles Wesley context."
"The Hymn-Book of the Modern Church: Brief Studies of Hymns and Hymn-Writers","Arthur E. Gregory",https://www.gutenberg.org/ebooks/58619,Preaching & Teaching,Hymns and Worship,verified public domain,reviewed,Historical hymn background,"Use for hymn background, worship study, and sermon preparation."
"The Singing Church: The Hymns It Wrote and Sang","Edmund S. Lorenz",https://www.gutenberg.org/ebooks/61393,Christian Living,Hymns and Worship,verified public domain,reviewed,Historical hymn background,"Use for hymn background, worship history, and devotional reading."
"The Story of Our Hymns","Ernest Edwin Ryden",https://www.gutenberg.org/ebooks/33998,Christian Living,Hymns and Worship,verified public domain,reviewed,Historical hymn background,"Use for hymn stories, worship background, and sermon illustrations."
"Feathers for Arrows: Illustrations for Preachers and Teachers from My Note Book","C. H. Spurgeon",https://archive.org/download/feathersforarro00spurgoog/feathersforarro00spurgoog_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Preaching illustration classic; OCR spot-check needed before quotation,"Use for sermon illustrations, teaching examples, and preaching preparation."
"Twelve Sermons on Conversion","C. H. Spurgeon",https://archive.org/download/twelvesermonsonc0000spur/twelvesermonsonc0000spur_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Evangelistic sermons; OCR spot-check needed before quotation,"Use for evangelistic preaching, salvation sermons, and sermon study."
"The Poetical Works of John and Charles Wesley, Vol. 1","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj01wesl/poeticalworksofj01wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 2","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj02wesl/poeticalworksofj02wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 3","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj03wesl/poeticalworksofj03wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 4","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj04wesl/poeticalworksofj04wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 5","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj05wesluoft/poeticalworksofj05wesluoft_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 6","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj06wesl/poeticalworksofj06wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 7","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj07wesl/poeticalworksofj07wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 8","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj08wesl/poeticalworksofj08wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 9","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj09wesl/poeticalworksofj09wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
