title,creator,kind,category,source_platform,source_url,rights_status,rights_evidence,priority,recommended_use,planned_storage_path,next_action
"Bible (KJV), Complete","King James Version / Michael Armenta","Bible Audio","Bible Audio","LibriVox","https://librivox.org/bible-complete-king-james-version/","Public Domain - USA","LibriVox catalog page states recordings are public domain in the USA; page includes Internet Archive downloads and KJV 1769 Oxford Edition source notes.","Tier 1","Bible audio pilot; split by book/chapter group before upload.","audio/bible/kjv/librivox-complete/","Review country-specific KJV rights; import a small book first, such as John or Romans."
"All of Grace","C. H. Spurgeon","Audiobook","Gospel / Christian Living","LibriVox","https://librivox.org/all-of-grace-by-charles-h-spurgeon/","Public Domain - USA","LibriVox recording; Spurgeon text is public domain in the USA.","Tier 1","First Spurgeon audiobook pilot; attach to existing Library card.","audio/audiobooks/spurgeon/all-of-grace/","Download source audio, split by section if needed, upload to R2, connect to existing All of Grace resource."
"Morning and Evening: Daily Readings","C. H. Spurgeon","Audiobook","Devotional","LibriVox","https://librivox.org/morning-and-evening-daily-readings-by-charles-spurgeon/","Public Domain - USA","LibriVox recording; Spurgeon text is public domain in the USA.","Tier 1","Daily devotional listening path.","audio/audiobooks/spurgeon/morning-and-evening/","Review file structure; decide whether to expose by month/day."
"Around the Wicket Gate","C. H. Spurgeon","Audiobook","Evangelism / Gospel","LibriVox","https://librivox.org/around-the-wicket-gate-by-charles-h-spurgeon/","Public Domain - USA","LibriVox recording; Spurgeon text is public domain in the USA.","Tier 1","Short gospel audiobook for new believers and evangelism.","audio/audiobooks/spurgeon/around-the-wicket-gate/","Download and attach to Library resource if present; otherwise create media-linked resource."
"C. H. Spurgeon's Prayers","C. H. Spurgeon","Audiobook","Prayer","LibriVox","https://librivox.org/prayers-by-charles-h-spurgeon/","Public Domain - USA","LibriVox recording; Spurgeon text is public domain in the USA.","Tier 1","Prayer module companion and devotional listening.","audio/audiobooks/spurgeon/prayers/","Download and connect to Prayer reading path."
"Spurgeon's Sermons May 1858","C. H. Spurgeon","Sermon Audio","Sermons / Preaching","LibriVox","https://librivox.org/spurgeons-sermons-may-1858-by-charles-spurgeon/","Public Domain - USA","LibriVox recording; original Spurgeon sermons are public domain in the USA.","Tier 1","Sermon audio collection and preaching examples.","audio/sermons/spurgeon/may-1858/","Download as sermon-series pilot; preserve sermon titles as chapter markers."
"The Treasury of David, Vol. 1 (Abridged)","C. H. Spurgeon","Commentary Audio","Commentary / Psalms","LibriVox","https://librivox.org/the-treasury-of-david-vol-1-abridged-by-charles-h-spurgeon/","Public Domain - USA","LibriVox recording; Spurgeon text is public domain in the USA.","Tier 2","Psalms commentary listening pilot.","audio/commentary/spurgeon/treasury-of-david-vol-1-abridged/","Review abridgement; keep clearly labeled as abridged."
"Expository Thoughts on the Gospels - St. Matthew","J. C. Ryle","Commentary Audio","Commentary / Gospels","LibriVox","https://librivox.org/expository-thoughts-on-the-gospels-st-matthew-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle died in 1900 and source text is public domain in the USA.","Tier 1","Gospel commentary listening and teacher prep.","audio/commentary/ryle/expository-thoughts-matthew/","Download and map sections to Matthew passages."
"Expository Thoughts on the Gospels - St. Mark","J. C. Ryle","Commentary Audio","Commentary / Gospels","LibriVox","https://librivox.org/expository-thoughts-on-the-gospels-st-mark-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle text is public domain in the USA.","Tier 1","Gospel commentary listening and teacher prep.","audio/commentary/ryle/expository-thoughts-mark/","Download after Matthew pilot succeeds."
"Expository Thoughts on the Gospels - St. Luke Vol. 1","J. C. Ryle","Commentary Audio","Commentary / Gospels","LibriVox","https://librivox.org/expository-thoughts-on-the-gospels-st-luke-vol-1-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle text is public domain in the USA.","Tier 1","Luke study and commentary listening.","audio/commentary/ryle/expository-thoughts-luke-vol-1/","Map to Luke 1 through mid-book sections."
