local_file,storage_path,kind,title,creator,rights_status,visibility,content_type,source_url,notes
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_00_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/001-introduction.mp3,Audiobook,C. H. Spurgeon's Prayers - Introduction,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_00_spurgeon_64kb.mp3; catalog duration 00:07:48; reader MaryAnn. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_00_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_01_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/002-prayer-help-from-on-high.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- Help from on High,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_01_spurgeon_64kb.mp3; catalog duration 00:11:59; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_01_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_02_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/003-prayer-thanks-be-unto-god.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- Thanks be unto God,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_02_spurgeon_64kb.mp3; catalog duration 00:10:43; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_02_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_03_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/004-prayer-the-love-without-measure-or-end.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Love Without Measure or End,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_03_spurgeon_64kb.mp3; catalog duration 00:10:36; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_03_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_04_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/005-prayer-the-all-prevailing-plea.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The All-Prevailing Plea,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_04_spurgeon_64kb.mp3; catalog duration 00:11:54; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_04_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_05_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/006-prayer-to-the-king-eternal.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- To the King Eternal,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_05_spurgeon_64kb.mp3; catalog duration 00:14:19; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_05_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_06_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/007-prayer-the-wonders-of-calvary.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Wonders of Calvary,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_06_spurgeon_64kb.mp3; catalog duration 00:10:06; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_06_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_07_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/008-prayer-let-all-the-people-praise-thee.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- 'Let all the People Praise Thee',C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_07_spurgeon_64kb.mp3; catalog duration 00:10:19; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_07_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_08_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/009-prayer-a-prayer-for-holiness.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- A Prayer for Holiness,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_08_spurgeon_64kb.mp3; catalog duration 00:09:46; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_08_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_09_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/010-prayer-glorious-liberty.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- Glorious Liberty,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_09_spurgeon_64kb.mp3; catalog duration 00:05:22; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_09_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
