"word","kjv_count","priority","lookup_candidates","sample_references","supplemental_help"
"israel","2575","high","israel","Genesis 32:28; Genesis 32:32; Genesis 34:7; Genesis 35:10; Genesis 35:10","Easton; Nave"
"david","1064","high","david","Ruth 4:17; Ruth 4:22; 1 Samuel 16:13; 1 Samuel 16:19; 1 Samuel 16:20","Easton; Nave"
"jesus","983","high","jesus; jesu","Matthew 1:1; Matthew 1:16; Matthew 1:18; Matthew 1:21; Matthew 1:25","Easton; Nave"
"moses","847","high","moses; mos; mose","Exodus 2:10; Exodus 2:11; Exodus 2:14; Exodus 2:15; Exodus 2:15","Easton"
"judah","816","high","judah","Genesis 29:35; Genesis 35:23; Genesis 37:26; Genesis 38:1; Genesis 38:2","Easton; Nave"
"jerusalem","814","high","jerusalem","Joshua 10:1; Joshua 10:3; Joshua 10:5; Joshua 10:23; Joshua 12:10","Easton; Nave"
"egypt","611","high","egypt","Genesis 12:10; Genesis 12:11; Genesis 12:14; Genesis 13:1; Genesis 13:10","Easton"
"saul","420","high","saul","Genesis 36:37; Genesis 36:38; 1 Samuel 9:2; 1 Samuel 9:3; 1 Samuel 9:3","Easton"
"jacob","377","high","jacob","Genesis 25:26; Genesis 25:27; Genesis 25:28; Genesis 25:29; Genesis 25:30","Easton; Nave"
"aaron","350","high","aaron","Exodus 4:14; Exodus 4:27; Exodus 4:28; Exodus 4:29; Exodus 4:30","Easton; Nave"
"solomon","304","high","solomon","2 Samuel 5:14; 2 Samuel 12:24; 1 Kings 1:10; 1 Kings 1:11; 1 Kings 1:12","Easton; Nave"
"babylon","294","high","babylon","2 Kings 17:24; 2 Kings 17:30; 2 Kings 20:12; 2 Kings 20:14; 2 Kings 20:17","Easton; Nave"
"pharaoh","273","high","pharaoh","Genesis 12:15; Genesis 12:15; Genesis 12:15; Genesis 12:17; Genesis 12:18","Easton; Nave"
"philistines","254","high","philistines; philistine","Genesis 21:32; Genesis 21:34; Genesis 26:1; Genesis 26:8; Genesis 26:14","Easton; Nave"
"abraham","250","high","abraham","Genesis 17:5; Genesis 17:9; Genesis 17:15; Genesis 17:17; Genesis 17:18","Easton; Nave"
"joseph","250","high","joseph","Genesis 30:24; Genesis 30:25; Genesis 33:2; Genesis 33:7; Genesis 35:24","Easton; Nave"
"joshua","216","high","joshua","Exodus 17:9; Exodus 17:10; Exodus 17:13; Exodus 17:14; Exodus 24:13","Easton; Nave"
"jordan","197","high","jordan","Genesis 13:10; Genesis 13:11; Genesis 32:10; Genesis 50:10; Genesis 50:11","Easton; Nave"
"ephraim","176","high","ephraim","Genesis 41:52; Genesis 46:20; Genesis 48:1; Genesis 48:5; Genesis 48:13","Easton; Nave"
"moab","168","high","moab","Genesis 19:37; Genesis 36:35; Exodus 15:15; Numbers 21:11; Numbers 21:13","Easton"
"paul","162","high","paul","Acts 13:9; Acts 13:13; Acts 13:16; Acts 13:43; Acts 13:45","Easton; Nave"
"peter","162","high","peter","Matthew 4:18; Matthew 8:14; Matthew 10:2; Matthew 14:28; Matthew 14:29","Easton; Nave"
"jeremiah","147","high","jeremiah","2 Kings 23:31; 2 Kings 24:18; 1 Chronicles 5:24; 1 Chronicles 12:4; 1 Chronicles 12:10","Easton; Nave"
"manasseh","147","high","manasseh","Genesis 41:51; Genesis 46:20; Genesis 48:1; Genesis 48:5; Genesis 48:13","Easton; Nave"
"joab","145","high","joab","1 Samuel 26:6; 2 Samuel 2:13; 2 Samuel 2:14; 2 Samuel 2:14; 2 Samuel 2:18","Easton; Nave"
"samuel","142","high","samuel","1 Samuel 1:20; 1 Samuel 2:18; 1 Samuel 2:21; 1 Samuel 2:26; 1 Samuel 3:1","Easton; Nave"
"john","133","high","john","Matthew 3:1; Matthew 3:4; Matthew 3:13; Matthew 3:14; Matthew 4:12","Easton; Nave"
"isaac","132","high","isaac","Genesis 17:19; Genesis 17:21; Genesis 21:3; Genesis 21:4; Genesis 21:5","Easton; Nave"
"hezekiah","128","high","hezekiah","2 Kings 16:20; 2 Kings 18:1; 2 Kings 18:9; 2 Kings 18:10; 2 Kings 18:13","Easton; Nave"
"samaria","124","high","samaria","1 Kings 13:32; 1 Kings 16:24; 1 Kings 16:24; 1 Kings 16:28; 1 Kings 16:29","Easton; Nave"
"jonathan","121","high","jonathan","Judges 18:30; 1 Samuel 13:2; 1 Samuel 13:3; 1 Samuel 13:16; 1 Samuel 13:22","Easton; Nave"
"assyria","118","high","assyria","Genesis 2:14; Genesis 25:18; 2 Kings 15:19; 2 Kings 15:20; 2 Kings 15:20","Easton; Nave"
"absalom","108","high","absalom","2 Samuel 3:3; 2 Samuel 13:1; 2 Samuel 13:4; 2 Samuel 13:20; 2 Samuel 13:20","Easton"
"jeroboam","104","high","jeroboam","1 Kings 11:26; 1 Kings 11:28; 1 Kings 11:29; 1 Kings 11:31; 1 Kings 11:40","Easton"
"gilead","101","high","gilead","Genesis 31:21; Genesis 31:23; Genesis 31:25; Genesis 37:25; Numbers 26:29","Easton; Nave"
"esau","100","high","esau","Genesis 25:25; Genesis 25:26; Genesis 25:27; Genesis 25:28; Genesis 25:29","Easton; Nave"
"ahab","94","high","ahab","1 Kings 16:28; 1 Kings 16:29; 1 Kings 16:29; 1 Kings 16:30; 1 Kings 16:33","Easton"
